qstr_{reg61}.0{reg62}|{reg61}.0{reg62}
qstr_{s2}_{reg3?was:is}_i|{s2} {reg3?was:is} in the field and {reg4?she:he} {reg3?was:should be} close to {s3}{reg3?: at the moment}.
qstr_{s2}_{reg3?was:is}_b|{s2} {reg3?was:is} being held captive at {s3}.
qstr_{s2}_{reg3?was:has_b|{s2} {reg3?was:has been} taken captive by {reg4?her:his} enemies.
qstr_{reg3?{s2}_s_locatio|{reg3?{s2}'s location was unknown:I don't know where {s2} is}.
qstr_{s6}_has_joined_your|{s6} has joined your party.
qstr_You_now_owe_{reg2}_d|You now owe {reg2} denars to {s1}.
qstr_Renown_value_for_thi|Renown value for this battle is {reg8}.
qstr_You_have_run_into_a_|You have run into a trap!
qstr_You_are_attacked_by_|You are attacked by a group of bandits!
qstr_{s1}__{reg0}__reache|{s1} ({reg0}) reached pos
qstr_Holding|Holding
qstr_Following|Following
qstr_Charging|Charging
qstr_Advancing|Advancing
qstr_Falling_Back|Falling Back
qstr_Standing_Closer|Standing Closer
qstr_Spreading_Out|Spreading Out
qstr_Standing|Standing
qstr_N/A|N/A
qstr_Free|Free
qstr_Any_Weapon|Any Weapon
qstr_Blunt_Weapons|Blunt Weapons
qstr_You_receive_an_item_|You receive an item as a token of appreciation for joining this faction.
qstr_{s1}_Rebels|{s1} Rebels
qstr_Given_by:_{s62}|Given by: {s62}
qstr_Given_on:_{s60}|Given on: {s60}
qstr_You_have_{reg0}_days|You have {reg0} days to finish this quest.
qstr_This_quest_has_been_|This quest has been concluded. Talk to {s59} to finish it.
qstr_This_quest_has_been_s|This quest has been successfully completed. Talk to {s59} to claim your reward.
qstr_This_quest_has_faile|This quest has failed. Talk to {s59} to explain the situation.
qstr_At_the_time_quest_wa|At the time quest was given:^{s1}
qstr_{s5}_has_a_strength_|{s5} has a strength of {reg1} men in total.
qstr_The_last_time_you_sa|The last time you saw {reg1?her:him}, {s1}
qstr_The_last_time_you_he|The last time you heard about {reg1?her:him}, {s1}
qstr_Current_garrison_con|Current garrison consists of {reg5} men.^Has food stock for {reg6} days.
qstr_Very_Poor|Very Poor
qstr_Poor|Poor
qstr_Average|Average
qstr_Rich|Rich
qstr_Very_Rich|Very Rich
qstr_common_bandits:_{reg|common bandits: {reg20}
qstr_forest_bandits:_{reg|forest bandits: {reg21}
qstr_sea_raiders:_{reg22}|sea raiders: {reg22}
qstr_robber_knights:_{reg|robber knights: {reg23}
qstr_desert_bandits:_{reg|desert bandits: {reg24}
qstr_steppe_bandits:_{reg|steppe bandits: {reg25}
qstr_taiga_bandits:_{reg2|taiga bandits: {reg25}
qstr_Lairs|Lairs
qstr_steppe:_{reg27}|steppe: {reg27}
qstr_common:{reg28}|common:{reg28}
qstr_sea_raider:{reg29}|sea raider:{reg29}
qstr_forest:{reg30}|forest:{reg30}
qstr_desert:{reg31}|desert:{reg31}
qstr_knights:{reg32}|knights:{reg32}
qstr_taiga:{reg33}|taiga:{reg33}
qstr_Manor|Manor
qstr_A_manor_lets_you_res|A manor lets you rest at the village and pay your troops half wages while you rest.
qstr_Fortified_manor_hous|Fortified manor house
qstr_A_fortified_manor_ho|A fortified manor house provides basic fortifications.
qstr_Mill|Mill
qstr_A_mill_increases_vil|A mill increases village prosperity by 5%.
qstr_Watch_Tower|Watch Tower
qstr_A_watch_tower_lets_t|A watch tower lets the villagers raise alarm earlier. The time it takes for enemies to loot the village increases by 50%.
qstr_School|School
qstr_A_shool_increases_th|A shool increases the loyality of the villagers to you by +1 every month.
qstr_Messenger_Post|Messenger Post
qstr_A_messenger_post_let|A messenger post lets the inhabitants send you a message whenever enemies are nearby, even if you are far away from here.
qstr_Prison_Tower|Prison Tower
qstr_A_prison_tower_reduc|A prison tower reduces the chance of captives held here running away successfully.
qstr_Improved_fortificati|Improved fortifications 1
qstr_Surrounds_your_castl|Surrounds your castle with walls 1
qstr_Improved_fortificatio|Improved fortifications 2
qstr_Surrounds_your_castle|Surrounds your castle with walls 2
qstr_Prosperity_of_{s2}_h|Prosperity of {s2} has changed from {s3} to {s4}.
qstr_{s10}___home_{s14}_c|{s10} - home {s14} contacts {s15} faction {s16}
qstr_clash_with:_{s11}_an|clash with: {s11} and {s12} kingdom opponent: {s13}
qstr_morality_type:_{reg1|morality type: {reg10}/{reg11} morality2 type: {reg12}/{reg13}
qstr_reputation:_{reg14}|reputation: {reg14}
qstr_{s4}_looks_upset.|{s4} looks upset.
qstr_your_party|your party
qstr_{reg0?One_of_your_pr|{reg0?One of your prisoners, :}{s1} of {s3} has escaped from captivity!
qstr_You_brought_{reg3}_h|You brought {reg3} heads of cattle to {s1}.
qstr_I_heard_that_there_w|I heard that there will be a tournament in {s62} soon.
qstr_I_heard_that_one_can|I heard that one can buy {s62} very cheap at {s63}.
qstr_I_heard_that_they_pa|I heard that they pay a very high price for {s62} at {s63}.
qstr_attacks_neutral_{s20|attacks neutral {s20} {s21}
qstr_two_days_ago|two days ago
qstr_target:_{s51}___{reg|target: {s51} - {reg22} actor: {s52} - {reg23} strength ratio: {reg21} war damage: {reg24}
qstr_I_m_sorry_we_take_vo|I'm sorry, we take vows of chastity here and are not allowed to marry.
qstr_Best_threat_of_{s4}_|Best threat of {s4} has value level of {reg1}
qstr_No_center_found_to_d|No center found to defend
qstr_You_gain_right_to_ru|You gain right to rule.
qstr_You_lose_right_to_ru|You lose right to rule.
qstr_No_Troops_Left.|No Troops Left.
qstr_Selected_Troop:_{s1}|Selected Troop: {s1}
qstr_Peasants_revolt_in_a|Peasants revolt in areas controlled by the {s25}!
qstr_{reg0}_denars_added_|{reg0} denars added to treasury.
qstr_{reg0}_denars_remove|{reg0} denars removed from treasury.
qstr_{s1}_and_{s2}_have_c|{s1} and {s2} have concluded an alliance with each other.
qstr_{s1}_and_{s2}_have_co|{s1} and {s2} have concluded a defensive pact with each other.
qstr_{s1}_and_{s2}_have_con|{s1} and {s2} have concluded a trade agreement with each other.
qstr_{s1}_and_{s2}_have_conc|{s1} and {s2} have concluded a non aggression pact with each other.
qstr_you|you
qstr_{s0}^{s1}|{s0}^{s1}
qstr_{s20}_____dest_slot_|{s20} --- dest slot {reg20}
qstr_#|#
qstr_{s0}{s1}|{s0}{s1}
qstr_{reg0}|{reg0}
qstr_applying_fixes__if_a|applying fixes (if any)
qstr_Faction:_{s21}|Faction: {s21}
qstr_ranks|ranks
qstr_shield_wall|shield wall
qstr_wedge|wedge
qstr_square|square
qstr_up|up
qstr_Infantry_forming_{s1|Infantry forming {s1}.
qstr_Not_enough_infantry_|Not enough infantry to form {s1}, but holding.
qstr_Cavalry_forming_{s1}|Cavalry forming {s1}.
qstr_Not_enough_cavalry_t|Not enough cavalry to form {s1}, but holding.
qstr_Archers_forming_{s1}|Archers forming {s1}.
qstr_Not_enough_archers_t|Not enough archers to form {s1}, but holding.
qstr_Infantry_formation_d|Infantry formation disassembled.
qstr_Cavalry_formation_di|Cavalry formation disassembled.
qstr_Archer_formation_dis|Archer formation disassembled.
qstr_Spearmen|Spearmen
qstr_Horse_Archers|Horse Archers
qstr_calculate_party_stre|calculate party strength [{s33}] --- offense: {reg0} defense: {reg1} size: {reg2}
qstr_Ordo_Teutonicus|Ordo Teutonicus
qstr_Regnum_Litus|Regnum Litus
qstr_Altan_Ordyn_Uls|Altan Ordyn Uls
qstr_Regnum_Daniae|Regnum Daniae
qstr_Regnum_Poloniae|Regnum Poloniae
qstr_Sacrum_Imperium_Roma|Sacrum Imperium Romanum
qstr_Regnum_Hungariae|Regnum Hungariae
qstr_Veliki_Novgorod|Veliki Novgorod
qstr_Regnum_Angliae|Regnum Angliae
qstr_Regnum_Franciae|Regnum Franciae
qstr_Kongeriket_Norge|Kongeriket Norge
qstr_Regnum_Scotiae|Regnum Scotiae
qstr_Scotia_Maior|Scotia Maior
qstr_Konungariket_Sverige|Konungariket Sverige
qstr_Regnum_Galiciae_et_L|Regnum Galiciae et Lodomeriae
qstr_Regnum_Portugaliae|Regnum Portugaliae
qstr_Corona_Aragonae|Corona Aragonae
qstr_Regnum_Castiliae|Regnum Castiliae
qstr_Imarat_Gharnątah|Imarat Gharnątah
qstr_Basileia_ton_Rhomaio|Basileia ton Rhomaion
qstr_Regnum_Hierosolymita|Regnum Hierosolymitanum
qstr_Regnum_Siciliae|Regnum Siciliae
qstr_Sultanat_al_Mamalik|Sultanat al Mamalik
qstr_Imperium_Romaniae|Imperium Romaniae
qstr_Ilkhanate|Ilkhanate
qstr_Saltanat_al_Hafsid|Saltanat al Hafsid
qstr_Velika_Zupanija_Rask|Velika Zupanija Raska
qstr_Balgarsko_Tsarstvo|Balgarsko Tsarstvo
qstr_Saltanat_al_Marinid|Saltanat al Marinid
qstr_Deserti|Deserti
qstr_Montes_Sicarii|Montes Sicarii
qstr_Silvae_Sicarii|Silvae Sicarii
qstr_Kursi|Kursi
qstr_Žemaiciai|Žemaiciai
qstr_Pruteni|Pruteni
qstr_Jotvingiai|Jotvingiai
qstr_Cymry|Cymry
qstr_Patrimonium_Sancti_P|Patrimonium Sancti Petri
qstr_Teutonic_Order__Livo|Teutonic Order (Livonia and Prussia)
qstr_Kingdom_of_Lithuania|Kingdom of Lithuania
qstr_Golden_Horde|Golden Horde
qstr_Kingdom_of_Denmark|Kingdom of Denmark
qstr_Polish_Principalitie|Polish Principalities
qstr_Holy_Roman_Empire|Holy Roman Empire
qstr_Kingdom_of_Hungary|Kingdom of Hungary
qstr_Novgorod_Republic|Novgorod Republic
qstr_Kingdom_of_England|Kingdom of England
qstr_Kingdom_of_France|Kingdom of France
qstr_Kingdom_of_Norway|Kingdom of Norway
qstr_Kingdom_of_Scotland|Kingdom of Scotland
qstr_Gaelic_Kingdoms|Gaelic Kingdoms
qstr_Kingdom_of_Sweden|Kingdom of Sweden
qstr_Kingdom_of_Halych_Vo|Kingdom of Halych-Volhynia
qstr_Kingdom_of_Portugal|Kingdom of Portugal
qstr_Crown_of_Aragon|Crown of Aragon
qstr_Kingdom_of_Castille|Kingdom of Castille
qstr_Emirate_of_Granada|Emirate of Granada
qstr_Crusader_States|Crusader States
qstr_Kingdom_of_Sicily|Kingdom of Sicily
qstr_Mamluk_Sultanate|Mamluk Sultanate
qstr_Latin_Empire|Latin Empire
qstr_Il_khanate|Il-khanate
qstr_Hafsid_Dynasty|Hafsid Dynasty
qstr_Kingdom_of_Serbia|Kingdom of Serbia
qstr_Kingdom_of_Bulgaria|Kingdom of Bulgaria
qstr_Marinid_Dynasty|Marinid Dynasty
qstr_Deserters|Deserters
qstr_Mountaind_Bandits|Mountaind Bandits
qstr_Forest_Bandits|Forest Bandits
qstr_Curonians|Curonians
qstr_Samogitians|Samogitians
qstr_Prussians|Prussians
qstr_Yotvingians|Yotvingians
qstr_Welsh|Welsh
qstr_Papal_States|Papal States
qstr_multiplayer_profile_|multiplayer profile troop male
qstr_multiplayer_profile_t|multiplayer profile troop female
qstr_Temp_Troop|Temp Troop
qstr_find_item_cheat|find item cheat
qstr_Random_Town_Sequence|Random Town Sequence
qstr_Tournament_Participa|Tournament Participants
qstr_Maceman|Maceman
qstr_Archer|Archer
qstr_Swordsman|Swordsman
qstr_Novice_Fighter|Novice Fighter
qstr_Novice_Fighters|Novice Fighters
qstr_Regular_Fighter|Regular Fighter
qstr_Regular_Fighters|Regular Fighters
qstr_Veteran_Fighter|Veteran Fighter
qstr_Veteran_Fighters|Veteran Fighters
qstr_Champion_Fighter|Champion Fighter
qstr_Champion_Fighters|Champion Fighters
qstr_Cattle|Cattle
qstr_Libertus|Libertus
qstr_Liberti|Liberti
qstr_Non_Didicit_Sagittar|Non Didicit Sagittarius
qstr_Non_Didicerunt_Sagit|Non Didicerunt Sagittarii
qstr_Miles_Absolvitur|Miles Absolvitur
qstr_Milites_Absolvuntur|Milites Absolvuntur
qstr_Machaerophorus_Milit|Machaerophorus Militaris Veteranus Absolvitur
qstr_Machaerophori_Milita|Machaerophori Militares Veterani Absolvuntur
qstr_Gisarme_Militaris_Ab|Gisarme Militaris Absolvitur
qstr_Gisarme_Militares_Ab|Gisarme Militares Absolvuntur
qstr_Hastatus_Militaris_A|Hastatus Militaris Absolvitur
qstr_Hastati_Militares_Ab|Hastati Militares Absolvuntur
qstr_Iaculator_Arcoballis|Iaculator Arcoballista Militaris Absolvitur
qstr_Iaculatoris_Acroball|Iaculatoris Acroballistae Militares Absolvuntur
qstr_Sagittarius_Militari|Sagittarius Militaris Absolvitur
qstr_Sagittari_Militares_|Sagittari Militares Absolvuntur
qstr_Dux_Gisarme_Militari|Dux Gisarme Militaris Absolvitur
qstr_Duxes_Gisarme_Milita|Duxes Gisarme Militares Absolvuntur
qstr_Dux_Machaerophorus_M|Dux Machaerophorus Militaris Absolvitur
qstr_Duxes_Machaerophori_|Duxes Machaerophori Militares Absolvuntur
qstr_Dux_Hastatus_Militar|Dux Hastatus Militaris Absolvitur
qstr_Duxes_Hastati_Milita|Duxes Hastati Militares Absolvuntur
qstr_Dux_Iaculator_Milita|Dux Iaculator Militaris Absolvitur
qstr_Duxes_Iaculatoris_Mi|Duxes Iaculatoris Militares Absolvuntur
qstr_Eques_Absolvitur|Eques Absolvitur
qstr_Equites_Absolvuntur|Equites Absolvuntur
qstr_Armatus_Eques_Absolv|Armatus Eques Absolvitur
qstr_Armati_Equites_Absol|Armati Equites Absolvuntur
qstr_Armiger_Eques_Absolv|Armiger Eques Absolvitur
qstr_Armigri_Equites_Abso|Armigri Equites Absolvuntur
qstr_Nobilitas_Eques_Vehi|Nobilitas Eques Vehitur
qstr_Nobiliti_Equites_Veh|Nobiliti Equites Vehuntur
qstr_Jund_Al_Siqilliyya_R|Jund Al-Siqilliyya Rami
qstr_Jund_Al_Siqilliyya_Ru|Jund Al-Siqilliyya Rumat
qstr_Khassakiyya_Al_Siqil|Khassakiyya Al-Siqilliyya Rami
qstr_Khassakiyya_Al_Siqill|Khassakiyya Al-Siqilliyya Rumat
qstr_Jund_Al_Siqilliyya_F|Jund Al-Siqilliyya Faris
qstr_Khassakiya_Al_Siqill|Khassakiya Al-Siqilliyya Faris
qstr_Jund_Al_Siqilliyya_Ra|Jund Al-Siqilliyya Rajjala
qstr_Khassakiya_Al_Siqilli|Khassakiya Al-Siqilliyya Rajjala
