dlga_award_fief_to_vassal:award_fief_to_vassal_defer|I wish to defer the appointment of a lord, until I take the counsel of my subjects
dlga_fighter_talk_train_combat_2:close_window|Let's begin then. I am ready.
dlga_fighter_talk_train_combat_2:fighter_pretalk|Actually I want to do something else.
dlga_start:fighter_parry_try_again|Good. You were able to block my attacks successfully. You may repeat this practice and try to get faster each time, until you are confident of your defense skills. Do you want to have another go?
dlga_start:fighter_parry_try_again.1|Well that didn't go too well, did it? (Remember, you must press and hold down the right mouse button to keep your block effective.) Do you want to try again?
dlga_fighter_parry_try_again:fighter_talk_train_parry|Yes. Let's try again.
dlga_fighter_parry_try_again:fighter_talk_leave_parry|No, I think I am done for now.
dlga_start:fighter_parry_warn|Hey! We are doing a blocking practice, mate! You are supposed to block my attacks, not attack me back.
dlga_fighter_parry_warn:fighter_talk_train_parry|I am sorry. Let's try once again.
dlga_fighter_parry_warn:fighter_talk_leave_parry|Sorry. I must leave this practice now.
dlga_fighter_talk_leave_parry:close_window|All right. As you wish.
dlga_start:fighter_combat_try_again|Well that didn't go too well, did it?  Don't feel bad, and try not to do same mistakes next time. Do you want to have a go again?
dlga_fighter_combat_try_again:fighter_talk_train_combat|Yes. Let's do another round.
dlga_fighter_combat_try_again:fighter_talk_leave_combat|No. That was enough for me.
dlga_fighter_talk_leave_combat:close_window|Well, all right. Talk to me again if you change your mind.
dlga_start:fighter_combat_try_again.1|Hey, that was good sparring. You defeated me, but next time I'll be more careful. Do you want to have a go again?
dlga_start:fighter_talk.2|Very good. You have learned how to attack from any direction you want. If you like we can try this again or move to a different exercise.
dlga_start:archer_challenge_2|Not bad. Not bad at all! You seem to have grasped the basics of archery. Now, try to do the same thing with a crossbow. Take the crossbow and the bolts over there and shoot those three targets. The crossbow is much easier to shoot with compared with the bow, but you need to reload it after each shot.
dlga_start:archer_challenge_2.1|Good. You didn't have too much difficulty using the crossbow either. Next you will learn to use throwing weapons. Pick up the javelins you see over there and try to hit those three targets. 
dlga_start:ranged_end|Well, with that you have recevied the basic skills to use all three types of ranged weapons. The rest will come with practice. Train each and every day, and in time you will be as good as the best marksmen in Europe.
dlga_ranged_end:close_window|Now, you can go talk with the melee fighters or the horsemanship trainer if you haven't already done so. They can teach you important skills too.
dlga_start:archer_talk|Good day to you, young fellow. I spend my days teaching about ranged weapons to anyone that is willing to learn. If you need a tutor, let me know and I'll teach you how to use the bow, the crossbow and the javelin.
dlga_archer_talk:archer_challenge|Yes, show me how to use ranged weapons.
dlga_archer_talk:close_window|No, not now.
dlga_archer_challenge:archer_challenge_2|All right. Your first training will be in bowmanship. The bow is a difficult weapon to master. But once you are sufficiently good at it, you can shoot quickly and with great power. Go pick up the bow and arrows you see over there now and shoot those targets.
dlga_archer_challenge_2:close_window|All right. I am ready.
dlga_archer_challenge_2:close_window.1|Just a minute. I want to do something else first.
dlga_start:horseman_melee_challenge_2|I hope you enjoyed the ride. Now we move on to something a bit more difficult. Grab the lance you see over there and ride around the course hitting each target at least once.
dlga_start:horseman_melee_challenge_2.1|Good! You have been able to hit all targets on horseback. That's no easy feat for a starter. Your next challange will be using a bow and arrows to shoot at the archery targets by the road. You need to put an arrow to each target to consider yourself successful.
dlga_start:horsemanship_end|Very good. You were able to shoot all targets from horseback. Keep riding and practicing each day and in time you will be an expert horseman.
dlga_horsemanship_end:close_window|Now, you can go talk with the melee fighters or the archery trainer if you haven't already done so. You need to learn everything you can to be prepared when you have to defend yourself.
dlga_start:horseman_talk|Good day! I have come here for some riding practice, but my old bones are aching badly so I decided to give myself a rest today. If you would like to practice your horsemanship, you can take my horse here. The exercise would be good for her.
dlga_horseman_talk:horseman_challenge|Yes, I would like to practice riding.
dlga_horseman_talk:close_window|Uhm. Maybe later.
dlga_horseman_challenge:horseman_melee_challenge_2|Good. Now, I will give you a few exercises that'll teach you riding and horseback weapon use. Your first assignment is simple. Just take your horse for a ride around the course. Go as slow or as fast as you like. Come back when you feel confident as a rider and I'll give you some tougher exercises.
dlga_horseman_melee_challenge_2:close_window|All right. I am ready.
dlga_horseman_melee_challenge_2:close_window.1|Just a minute. I need to do something else first.
dlga_tutorial_troop_default:close_window|Hey, I am trying to practice here. Go, talk with the archery trainer if you need guidance about ranged weapons.
dlga_start:lord_prison_break_confirm_3|Is there a change of plans?
dlga_start:lord_prison_break|What's going on?
dlga_start:drunk_response|What are you looking at?
dlga_start:drunk_response.1|Are you looking at me?
dlga_player_duel_response:close_window|Such a waste...
dlga_player_duel_response:close_window.1|Better him than me
dlga_drunk_response:drunk_fight_start|I'm not sure... Some sort of animal, clearly
dlga_drunk_response:drunk_fight_start.1|Excuse me -- please accept my apologies
dlga_drunk_fight_start:close_window|I'll wipe that smirk right off your face!
dlga_drunk_response:drunk_player_high_renown|Do you have any idea who I am?
dlga_drunk_player_high_renown:drunk_fight_start|Do I care?
dlga_drunk_player_high_renown:drunk_player_high_renown|Emmm... Actually... Yes, yes, I do know who you are, {sir/madame}. Please forgive me, your grace -- it must be the drink. I'll be leaving, now...
dlga_drunk_player_high_renown:drunk_fight_start.1|Why, if you want a fight, you shall have one!
dlga_drunk_player_high_renown:close_window|I thought as much. Now, remove yourself from here
dlga_start:fistfight_response|You look like a {fellow/lady} who can take a few hard knocks -- and deal them out, too. I have a business proposition for you.
dlga_fistfight_response:fistfight_response_2|How's that?
dlga_fistfight_response_2:fistfight_response_2a|Good -- I'm glad you're interested. Here's the plan... It's a little complicated, so listen well. 
dlga_fistfight_response_2a:fistfight_response_3|You and this other fellow will start up a fight here. No weapons, no armor -- I'll sit back and take bets, and split the profits with the winner. If we make a loss, then I'll cover it. You've got nothing to lose -- except a bit of blood, of course.
dlga_fistfight_response_3:fistfight_response_4|However, we can't organize this like one of those nice arena bouts, where everyone places their bets beforehand. People will walk in, drawn by the noise, and put a denar or two on whichever one of your two they think is winning. I'll give 'em even odds -- anything else is going to be too tricky for someone who's already on his third flagon of ale.
dlga_fistfight_response_4:fistfight_response_4a|So, as you can see, the trick is to stretch things out for as long as possible where it looks like you're losing, and people bet against you -- and then come back fast, and win, before the betting can turn. The best way to make money is for you to be battered almost to the floor, and then jump back off your feet and take the other guy down. However, you have to win in the end in order for me, and you, to make money. 
dlga_fistfight_response_4a:fistfight_response_5|Also, you can't stretch the fight out too long, or people will suspect a fix. So, one of you has to take a punch every so often. I don't care whose blood is spilled, but there has to be some blood.
dlga_fistfight_response_5:fistfight_response_5a|And one other thing -- my mate, your opponent, he doesn't take to well to complexity. So he's just going to come straight at you. It's up to you to supply the artistry.
dlga_fistfight_response_5a:fistfight_response_confirm|So, what do you think?
dlga_fistfight_response_confirm:close_window.1|I have better things to do
dlga_start:ramun_introduce_1|Good day to you, {young man/lassie}.
dlga_ramun_introduce_1:ramun_introduce_2|Forgive me, you look like a trader, but I see none of your merchandise.
dlga_ramun_introduce_1:close_window|Never mind.
dlga_ramun_introduce_2:ramun_introduce_3|A trader? Oh, aye, I certainly am that. My merchandise is a bit different from most, however. It has to be fed and watered twice a day and tries to run away if I turn my back.
dlga_ramun_introduce_3:ramun_introduce_4|Livestock?
dlga_ramun_introduce_4:ramun_introduce_5|Close enough. I like to call myself the man who keeps every boat on this ocean moving. Boats are driven by oars, you see, and oars need men to pull them or they stop. That's where I come in.
dlga_ramun_introduce_5:ramun_introduce_6|Galley slaves.
dlga_ramun_introduce_6:ramun_introduce_7|Now you're catching on! A trading port like this couldn't survive without them. The ships lose a few hands on every voyage, so there's always a high demand. The captains come to me and they pay well.
dlga_ramun_introduce_7:ramun_introduce_8|Where do the slaves come from?
dlga_ramun_introduce_8:ramun_introduce_9|Mostly I deal in convicted criminals bought from the authorities. Others are prisoners of war from various nations, brought to me because I offer the best prices. However, on occasion I'll buy from privateers and other . . . 'individuals'. You can't be picky about your suppliers in this line of work. You wouldn't happen to have any prisoners with you, would you?
dlga_ramun_introduce_9:ramun_introduce_10|Me? 
dlga_ramun_introduce_10:ramun_introduce_11|Why not? If you intend to set foot outside this town, you're going to cross swords with someone sooner or later. And, God willing, you'll come out on top. Why not make some extra money off the whole thing? Take them alive, bring them back to me, and I'll pay you fifty denars for each head. Don't much care who they are or where they come from.
dlga_ramun_introduce_11:ramun_introduce_12|Hmm. I'll think about it.
dlga_ramun_introduce_12:close_window|Do think about it! There's a lot of silver to be made, no mistake. More than enough for the both of us.
dlga_start:ramun_talk|Hello, {playername}.
dlga_ramun_pre_talk:ramun_talk|Anything else?
dlga_ramun_talk:ramun_sell_prisoners|I've brought you some prisoners, Ramun. Would you like a look?
dlga_ramun_sell_prisoners:ramun_sell_prisoners_2|Let me see what you have...
dlga_ramun_sell_prisoners_2:close_window|A pleasure doing business with you.
dlga_ramun_talk:ramun_ask_about_capturing|How do I take somebody as prisoner?
dlga_ramun_talk:ramun_ask_about_capturing.1|Can you tell me again about capturing prisoners?
dlga_ramun_ask_about_capturing:ramun_have_blunt_weapon|You're new to this, aren't you? Let me explain it in simple terms. The basic rule of taking someone prisoner is knocking him down with a blunt weapon, like a mace or a club, rather than cutting him open with a sword. That way he goes to sleep for a little while rather than bleeding to death, you see? I'm assuming you have a blunt weapon with you . . .
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_yes|Of course.
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_no|As a matter of fact, I don't.
dlga_ramun_have_blunt_weapon_yes:ramun_ask_about_capturing_2|Good. Then all you need to do is beat the bugger down with your weapon, and when the fighting's over you clap him in irons. It's a bit different for nobles and such, they tend to be protected enough that it won't matter what kind of weapon you use, but your average rabble-rouser will bleed like a stuck pig if you get him with something sharp. I don't have many requirements in my merchandise, but I do insist they be breathing when I buy them.
dlga_ramun_have_blunt_weapon_no:ramun_have_blunt_weapon_no_2|No? Heh, well, this must be your lucky day. I've got an old club lying around that I was going to throw away. It a bit battered, but still good enough bash someone until he stops moving. Here, have it.
dlga_ramun_have_blunt_weapon_no_2:ramun_have_blunt_weapon_yes|Thanks, Ramun. Perhaps I may try my hand at it.
dlga_ramun_ask_about_capturing:ramun_ask_about_capturing_2|Alright, I'll try and expain it again in simple terms. The basic rule of taking someone prisoner is knocking him down with a blunt weapon, like a mace or a club, rather than cutting him open with a sword. That way he goes to sleep for a little while rather than bleeding to death, you see? It's a bit different for nobles and such, they tend to be protected enough that it won't matter what kind of weapon you use, but your average rabble-rouser will bleed like a stuck pig if you get him with something sharp.
dlga_ramun_ask_about_capturing_2:ramun_ask_about_capturing_3|Alright, I think I understand. Anything else?
dlga_ramun_ask_about_capturing_3:ramun_ask_about_capturing_4|Well, it's not as simple as all that. Blunt weapons don't do as much damage as sharp ones, so they won't bring your enemies down as quickly. And trust me, given the chance, most of the scum you run across would just as soon kill you as look at you, so don't expect any courtesy when you pull out a club instead of a sword. Moreover, having to drag prisoners to and fro will slow down your party, which is why some people simply set their prisoners free after the fighting's done. It's madness. How could anyone turn down all that silver, eh?
dlga_ramun_ask_about_capturing_4:ramun_ask_about_capturing_5|Is that everything?
dlga_ramun_ask_about_capturing_5:ramun_ask_about_capturing_7|Just one final thing. Managing prisoners safely is not an easy thing to do, you could call it a skill in itself. If you want to capture a lot of prisoners, you should try and learn the tricks of it yourself, or you won't be able to hang on to a single man you catch.
dlga_ramun_ask_about_capturing_7:ramun_pre_talk|Thanks, I'll keep it in mind.
dlga_ramun_talk:ramun_leave|I'd better be going.
dlga_ramun_leave:close_window|Remember, any prisoners you've got, bring them to me. I'll pay you good silver for every one.
dlga_start:close_window.3|I humbly request that your lordship keeps his hands where I can see them.
dlga_start:manor_master_reply|Welcome to your manor, M'Lord! The peasents are working as hard as they can to meet you're demands and I personaly whip the lazy ones.
dlga_manor_master_reply:close_window|Excellent! Continue the good work!
dlga_start:whore_ask|So Handsome, is there something you want?
dlga_start:close_window.4|Don't worry, we will get to work as soon as possible
dlga_whore_ask:whore_ask_army|I'd like to please my men, perhaps you and you're friends could help out?
dlga_whore_ask:close_window|Nevermind...
dlga_whore_ask_army:whore_ask_army_reply|Sure Honey, but that will cost you {reg0} coins
dlga_whore_ask_army_reply:whore_reply_army|Not a problem. Anything for my men
dlga_whore_ask_army_reply:close_window|Er... I changed my mind
dlga_whore_reply_army:close_window|Allright handsome, me and my girldfriends will get to them right away
dlga_start:guelphs_intro|What do you want?
dlga_start:guelphs_hostile|Oy you there, stinkers! All you Ghibellines lovers smell like feat!
dlga_start:close_window.5|I could have smelled you a mile away, becouse Ghibellines lovers smell like feat, kill em!
dlga_guelphs_intro:close_window|I am {playername}. I ask for safe passage.
dlga_guelphs_intro:guelphs_hostile|We are Ghibellines family supporters. Are you?
dlga_guelphs_hostile:close_window|Poke 'em with the pointy end men! GAAarrrrGGHhh!!
dlga_start:ghibellines_intro|What do you want?
dlga_start:ghibellines_hostile|Oy you there, stinkers! All you Guelphs lovers smell like pigs!
dlga_start:close_window.6|I could have smelled you a mile away, becouse Guelphs lovers smell like pigs, kill em!
dlga_ghibellines_intro:close_window|I am {playername}. I ask for safe passage.
dlga_ghibellines_intro:ghibellines_hostile|Greetings, are you friends of Guelphs as well?
dlga_ghibellines_hostile:close_window|Poke 'em with the pointy end men! GAAarrrrGGHhh!!
dlga_start:welsh_intro|What do you want?
dlga_start:welsh_hostile|Invaders, at them!
dlga_start:close_window.7|Die invader!
dlga_welsh_intro:close_window|I am {playername}. I ask for safe passage.
dlga_welsh_intro:welsh_hostile|I travel under the protection of the English king.  You would not dare stop us.
dlga_welsh_hostile:close_window|We would not... ATTACK!
dlga_start:prussians_intro|What do you want?
dlga_start:prussians_hostile|Do you think you can get away from me?
dlga_start:close_window.8|Die invader!
dlga_prussians_intro:prussians_friendly_close|I am {playername}. I'm just traveling through these lands.
dlga_prussians_intro:prussians_hostile|You're an abomination in the eyes of God.  Repent and I'll let you live!
dlga_prussians_hostile:close_window|These are our lands and you have been desecrating our forests long enough. Die!
dlga_prussians_friendly_close:close_window|Perkūns be with you then {playername}.
dlga_start:curonians_intro|What do you want?
dlga_start:curonians_hostile|Do you think you can get away from me?
dlga_start:close_window.9|Die invader!
dlga_curonians_intro:curonians_friendly_close|I am {playername}. I'm just traveling through these lands.
dlga_curonians_intro:curonians_hostile|You're an abomination in the eyes of God.  Repent and I'll let you live!
dlga_curonians_hostile:close_window|These are our lands and you have been desecrating our forests long enough. Die!
dlga_curonians_friendly_close:close_window|Pērkons be with you then {playername}.
dlga_start:samogitians_intro|What do you want?
dlga_start:samogitians_hostile|Do you think you can get away from me?
dlga_start:close_window.10|Die invader!
dlga_samogitians_intro:samogitians_friendly_close|I am {playername}. I'm just traveling through these lands.
dlga_samogitians_intro:samogitians_hostile|You're an abomination in the eyes of God.  Repent and I'll let you live!
dlga_samogitians_hostile:close_window|These are our lands and you have been desecrating our forests long enough. Die!
dlga_samogitians_friendly_close:close_window|Perkūnas be with you then {playername}.
dlga_start:yotvingians_intro|What do you want?
dlga_start:yotvingians_hostile|Do you think you can get away from me?
dlga_start:close_window.11|Die invader!
dlga_yotvingians_intro:yotvingians_friendly_close|I am {playername}. I'm just traveling through these lands.
dlga_yotvingians_intro:yotvingians_hostile|You're an abomination in the eyes of God.  Repent and I'll let you live!
dlga_yotvingians_hostile:close_window|These are our lands and you have been desecrating our forests long enough. Die!
dlga_yotvingians_friendly_close:close_window|Parkuns be with you then {playername}.
dlga_start:manhunter_talk_b|Hey, you there! You seen any outlaws around here?
dlga_manhunter_talk_b:manhunter_talk_b1|Yes, they went this way about an hour ago.
dlga_manhunter_talk_b1:close_window|I knew it! Come on, lads, lets go get these bastards! Thanks a lot, friend.
dlga_manhunter_talk_b:manhunter_talk_b2|No, haven't seen any outlaws lately.
dlga_manhunter_talk_b2:close_window|Bah. They're holed up in this country like rats, but we'll smoke them out yet. Sooner or later.
dlga_looters_1:looters_2|{s4}
dlga_looters_2:close_window|I'm not afraid of you lot. Fight me if you dare!
dlga_looters_2:close_window.1|You'll have nothing of mine but cold steel, scum.
dlga_start:village_farmer_talk| My {lord/lady}, we're only poor farmers from the village of {s11}. {reg1?We are taking our products to the market at {s12}.:We are returning from the market at {s12} back to our village.}
dlga_village_farmer_talk:farmer_bandit_information|I am hunting a group of bandits with the following description... Have you seen them?
dlga_farmer_bandit_information:village_farmer_talk|{s15}
dlga_village_farmer_talk:close_window|We'll see how poor you are after I take what you've got!
dlga_village_farmer_talk:close_window.1|Carry on, then. Farewell.
dlga_start:minister_issues|I am at your service, {sire/my lady}
dlga_start:close_window.12|It has been an honor to serve you, {sire/my lady}
dlga_start:member_castellan_talk|Yes, {playername}? What can I do for you?
dlga_member_castellan_pretalk:member_castellan_talk|Anything else?
dlga_member_castellan_talk:member_review_castle_garrison|I want to review the castle garrison.
dlga_member_review_castle_garrison:member_castellan_pretalk|Of course. Here are our lists, let me know of any changes you require...
dlga_member_castellan_talk:member_review_castellan_equipment|Let me see your equipment.
dlga_member_review_castellan_equipment:member_castellan_pretalk|Very well, it's all here...
dlga_member_castellan_talk:member_castellan_join|I want you to abandon the castle and join my party.
dlga_member_castellan_join:close_window|I've grown quite fond of the place... But if it is your wish, {playername}, I'll come with you.
dlga_member_castellan_join:member_castellan_pretalk|And where would we sleep? You're dragging a whole army with you, {playername}, there's no more room for all of us.
dlga_member_castellan_talk:close_window|[Leave]
dlga_member_chat:kidnapped_girl_chat_1|Are we home yet?
dlga_kidnapped_girl_chat_1:kidnapped_girl_chat_2|Not yet.
dlga_kidnapped_girl_chat_2:close_window|I can't wait to get back. I've missed my family so much, I'd give anything to see them again.
dlga_member_chat:member_lady_1|{playername}, when do you think we can reach our destination?
dlga_member_lady_1:member_lady_2a|We still have a long way ahead of us.
dlga_member_lady_1:member_lady_2b|Very soon. We're almost there.
dlga_member_lady_2a:close_window|Ah, I am going to enjoy the road for a while longer then. I won't complain. I find riding out in the open so much more pleasant than sitting in the castle all day. You know, I envy you. You can live like this all the time.
dlga_member_lady_2b:close_window|That's good news. Not that I don't like your company, but I did miss my little luxuries. Still I am sorry that I'll leave you soon. You must promise me, you'll come visit me when you can.
dlga_member_chat:supported_pretender_talk|Greetings, {playername}, my first and foremost vassal. I await your counsel.
dlga_supported_pretender_pretalk:supported_pretender_talk|Anything else?
dlga_supported_pretender_talk:pretender_progress|What do you think about our progress so far?
dlga_pretender_progress:pretender_progress_2|{reg11?We have {reg11} lords on our side:We have no lord with us yet}, whereas {reg21?{s9} still has {reg21} lords supporting him:{s9} has no loyal lords left}. {reg19?We control {reg13?{reg13} towns:} {reg14?{reg14} castles:} {reg15?and {reg15} villages:}:We don't control any settlements}, while {reg29?they have {reg23?{reg23} towns:} {reg24?{reg24} castles:} {reg25?and {reg25} villages:}:they have no remaining settlements}. Overall, {s30}.
dlga_pretender_progress_2:supported_pretender_pretalk|Then, we must keep fighting and rally our supporters!
dlga_pretender_progress_2:pretender_quit_rebel_confirm|It seems this rebellion is not going anywhere. We must give up.
dlga_pretender_quit_rebel_confirm:pretender_quit_rebel_confirm_2|{playername}, you can't abandon me now. Are you serious?
dlga_pretender_quit_rebel_confirm_2:pretender_quit_rebel_confirm_3|Indeed, I am. I can't support you any longer.
dlga_pretender_quit_rebel_confirm_2:supported_pretender_pretalk|I was jesting. I will fight for you until we succeed.
dlga_pretender_quit_rebel_confirm_3:pretender_quit_rebel_confirm_4|Are you absolutely sure? I will never forgive you if you abandon my cause.
dlga_pretender_quit_rebel_confirm_4:pretender_quit_rebel|I am sure.
dlga_pretender_quit_rebel_confirm_4:supported_pretender_pretalk|Let me think about this some more.
dlga_pretender_quit_rebel:close_window|So be it. Then my cause is lost. There is only one thing to do for me now. I will go from Europe and never come back. With me gone, you may try to make your peace with {s4}.
dlga_supported_pretender_talk:supported_pretender_equip|{reg65?My lady:My lord}, would you allow me to check out your equipment?
dlga_supported_pretender_equip:supported_pretender_pretalk|Very well, it's all here...
dlga_supported_pretender_talk:pretneder_view_char_requested|If it would please you, can you tell me about your skills?
dlga_pretneder_view_char_requested:supported_pretender_pretalk|Well, all right.
dlga_supported_pretender_talk:supported_pretender_grant_fief|I suggest that you decide who should hold a fief that does not have a lord.
dlga_supported_pretender_grant_fief:supported_pretender_grant_fief_select|Which fief did you have in mind?
dlga_supported_pretender_grant_fief_select:supported_pretender_grant_fief_choose_recipient|{s4}
dlga_supported_pretender_grant_fief_choose_recipient:center_captured_rebellion|And who should receive it?
dlga_supported_pretender_grant_fief_select:supported_pretender_pretalk|Never mind.
dlga_supported_pretender_talk:close_window|Let us keep going, {reg65?my lady:sir}.
dlga_do_member_trade:member_talk|Anything else?
dlga_member_pretalk:member_talk|Anything else?
dlga_member_chat:member_talk|Yes, {s5}?
dlga_member_talk:member_direct_campaign|As marshal, I wish you to send a message to the vassals of the realm
dlga_member_talk:member_trade|Let me see your equipment.
dlga_member_trade:do_member_trade|Very well, it's all here...
dlga_member_talk:view_member_char_requested|What can you tell me about your skills?
dlga_view_member_char_requested:do_member_view_char|All right, let me tell you...
dlga_member_talk:member_separate|We need to separate for a while.
dlga_member_separate:member_separate_confirm|Oh really? Well, I'm not just going to wait around here. I'm going to go to the towns to look for other work. Is that what you want?
dlga_member_separate:companion_quitting|Well, actually, there was something I needed to tell you.
dlga_member_separate_confirm:member_separate_yes|That's right. We need to part ways.
dlga_member_separate_confirm:do_member_trade|No, I'd rather have you at my side.
dlga_member_separate_yes:close_window|Well. I'll be off, then. Look me up if you need me.
dlga_member_talk:member_question|I'd like to ask you something.
dlga_member_talk:close_window|Never mind.
dlga_member_question:member_question_2|Very well. What did you want to ask?
dlga_member_question_2:member_morale|How do you feel about the way things are going in this company?
dlga_member_question_2:member_background_recap|Tell me your story again.
dlga_member_question_2:member_kingsupport_1|I suppose you know that I aspire to be {king/queen} of this land?
dlga_member_question_2:member_intelgathering_1|Do you have any connections that we could use to our advantage?
dlga_member_question_2:member_fief_grant_1|Would you be interested in holding a fief?
dlga_member_morale:do_member_trade|{s21}
dlga_member_background_recap:member_background_recap_2|{s5}
dlga_member_background_recap_2:member_background_recap_3|{s5}
dlga_member_background_recap_3:do_member_trade|Then shortly after, I joined up with you.
dlga_do_member_view_char:member_talk|Anything else?
dlga_member_kingsupport_1:do_member_trade|Um... Yes. I had heard.
dlga_member_kingsupport_1:member_kingsupport_1a|{s21}
dlga_member_kingsupport_1a:member_kingsupport_2|Would you then support my cause?
dlga_member_kingsupport_1a:do_member_trade|Very good. I shall keep that in mind.
dlga_member_kingsupport_2:do_member_trade|I would, {s21}. Moreover, I have a proposal on how I might help you attain your throne. But you recently sent {s22} off on a similar mission. Perhaps we should wait for a couple of weeks to avoid drawing too much attention to ourselves.
dlga_member_kingsupport_2:member_kingsupport_2a|{s21}
dlga_member_kingsupport_2a:member_kingsupport_3|{s21}
dlga_member_kingsupport_2a:do_member_trade|{s21}
dlga_member_kingsupport_3:member_kingsupport_3a|{s21}
dlga_member_kingsupport_3a:member_kingsupport_4|Very good. You do that
dlga_member_kingsupport_3a:do_member_trade|On second thought, stay with me for a while
dlga_member_kingsupport_4:close_window|Farewell then, {s21}, for a little while
dlga_member_intelgathering_1:member_intelgathering_3|{s21}
dlga_member_intelgathering_3:member_intelgathering_3|Of course, as few people should know of this as possible. If you want to collect the information, or pull me out, then don't send a messenger. Come and get me yourself -- even if that means you have to sneak through the gates.
dlga_member_intelgathering_3:member_intelgathering_4|Splendid idea -- you do that.
dlga_member_intelgathering_3:do_member_trade|Actually, hold off for now.
dlga_member_intelgathering_4:close_window|Good. I should be ready to report in about five days. Farewell then, {s21}, for a little while.
dlga_merchant_quest_4_start:close_window|It's time, lads! Up and at them!
dlga_start:relative_saved_1a|Thank you! Thank you, {sir/my lady}, for rescuing me from those fiends. Did my brother in {s9} put you onto their track?
dlga_relative_saved_1a:close_window|Yes. I told him that I would find you. I advise you to return to your family as quickly as you can -- and be careful on the road.
dlga_start:bandit_leader_1a|Ay! Spare me! Spare my life! Let me go, and I'll go far away from here, and learn an honest trade, and you'll never hear of me again!
dlga_bandit_leader_1a:bandit_leader_1b|I'll spare your life -- but in exchange, I want information. Either you or your mates kidnapped the brother of a prominent merchant in town. Tell me where you're hiding him, and give me your word that you'll stop troubling the people of these parts, and you can go free.
dlga_start:looter_leader_1|What do you want?
dlga_looter_leader_1:looter_leader_2|I've been looking for you. Tell me where you keep your prisoners, and I'll let you go.
dlga_looter_leader_1:close_window|Nothing. We'll leave you in peace.
dlga_looter_leader_2:looter_leader_3|Hah! Those prisoners are only going free if you pay their ransom. Did you bring any silver?
dlga_looter_leader_3:close_window|No, but I brought steel.
dlga_bandit_leader_1b:close_window|Oh bless you, {sir/my lady}. Bless you. We've done the lad no harm. We've been keeping him in our hideout near {s9}. I'll describe the area nearby in detail, so there's no mistaking it...
dlga_start:rescue_prisoner_succeed_2|{playername}, you saved him! Thank you ever so much for rescuing my {s11}. Please, take this as some small repayment for your noble deed.
