itm_no_item|INVALID ITEM 
itm_practice_bolts_9_amount_pl|練 習 弩 矢 
itm_practice_boots|訓 練 靴 
itm_practice_boots_pl|訓 練 靴 
itm_book_tactics|羅 馬 軍 制 論 
itm_book_tactics_pl|羅 馬 軍 制 論 
itm_book_persuasion|修 辭 學 
itm_book_persuasion_pl|修 辭 學 
itm_book_leadership|亞 歷 山 大 傳 記 
itm_book_leadership_pl|亞 歷 山 大 傳 記 
itm_book_intelligence|邏 輯 論 文 
itm_book_intelligence_pl|邏 輯 論 文 
itm_book_trade|價 值 論 
itm_book_trade_pl|價 值 論 
itm_book_weapon_mastery|劍 鬥 藝 術 
itm_book_weapon_mastery_pl|劍 鬥 藝 術 
itm_book_engineering|機 械 原 理 
itm_book_engineering_pl|機 械 原 理 
itm_book_wound_treatment_reference|治 療 之 書 
itm_book_wound_treatment_reference_pl|治 療 之 書 
itm_book_training_reference|兵 器 手 冊 
itm_book_training_reference_pl|兵 器 手 冊 
itm_book_surgery_reference|手 術 大 全 
itm_book_surgery_reference_pl|手 術 大 全 
itm_spice|香 料 
itm_spice_pl|香 料 
itm_salt|鹽 
itm_salt_pl|鹽 
itm_oil|油 
itm_oil_pl|油 
itm_pottery|陶 器 
itm_pottery_pl|陶 器 
itm_raw_flax|亞 麻 捆 
itm_raw_flax_pl|亞 麻 捆 
itm_linen|亞 麻 布 
itm_linen_pl|亞 麻 布 
itm_wool|羊 毛 
itm_wool_pl|羊 毛 
itm_wool_cloth|毛 料 
itm_wool_cloth_pl|毛 料 
itm_raw_silk|生 絲 
itm_raw_silk_pl|生 絲 
itm_raw_dyes|染 料 
itm_raw_dyes_pl|染 料 
itm_velvet|天 鵝 絨 
itm_velvet_pl|天 鵝 絨 
itm_iron|生 鐵 
itm_iron_pl|生 鐵 
itm_tools|工 具 
itm_tools_pl|工 具 
itm_raw_leather|獸 皮 
itm_raw_leather_pl|獸 皮 
itm_leatherwork|皮 革 制 品 
itm_leatherwork_pl|皮 革 制 品 
itm_raw_date_fruit|棗 肉 
itm_raw_date_fruit_pl|棗 肉 
itm_furs|毛 皮 
itm_furs_pl|毛 皮 
itm_wine|葡 萄 酒 
itm_wine_pl|葡 萄 酒 
itm_ale|麥 芽 酒 
itm_ale_pl|麥 芽 酒 
itm_smoked_fish|熏 魚 
itm_smoked_fish_pl|熏 魚 
itm_cheese|奶 酪 
itm_cheese_pl|奶 酪 
itm_honey|蜂 蜜 
itm_honey_pl|蜂 蜜 
itm_sausages|香 腸 
itm_sausages_pl|香 腸 
itm_cabbages|卷 心 菜 
itm_cabbages_pl|卷 心 菜 
itm_dried_meat|風 干 肉 
itm_dried_meat_pl|風 干 肉 
itm_apples|蘋 果 
itm_apples_pl|蘋 果 
itm_raw_grapes|葡 萄 
itm_raw_grapes_pl|葡 萄 
itm_raw_olives|橄 欖 
itm_raw_olives_pl|橄 欖 
itm_grain|谷 物 
itm_grain_pl|谷 物 
itm_cattle_meat|牛 肉 
itm_cattle_meat_pl|牛 肉 
itm_bread|面 包 
itm_bread_pl|面 包 
itm_chicken|雞 肉 
itm_chicken_pl|雞 肉 
itm_pork|豬 肉 
itm_pork_pl|豬 肉 
itm_butter|奶 油 
itm_butter_pl|奶 油 
itm_siege_supply|補 給 品 
itm_siege_supply_pl|補 給 品 
itm_quest_wine|葡 萄 酒 
itm_quest_wine_pl|葡 萄 酒 
itm_quest_ale|麥 芽 酒 
itm_quest_ale_pl|麥 芽 酒 
itm_sumpter_horse|馱 馬 
itm_sumpter_horse_pl|馱 馬 
itm_saddle_horse|旅 行 馬 
itm_saddle_horse_pl|旅 行 馬 
itm_steppe_horse|草 原 馬 
itm_steppe_horse_pl|草 原 馬 
itm_arabian_horse_a|阿 拉 伯 馬 
itm_arabian_horse_a_pl|阿 拉 伯 馬 
itm_courser|駿 馬 
itm_courser_pl|駿 馬 
itm_arabian_horse_b|阿 拉 伯 馬 
itm_arabian_horse_b_pl|阿 拉 伯 馬 
itm_hunter|獵 馬 
itm_hunter_pl|獵 馬 
itm_warhorse|戰 馬 
itm_warhorse_pl|戰 馬 
itm_warhorse_white|披 甲 軍 馬 
itm_warhorse_white_pl|披 甲 軍 馬 
itm_warhorse_red|披 甲 軍 馬 
itm_warhorse_red_pl|披 甲 軍 馬 
itm_warhorse_blue|披 甲 軍 馬 
itm_warhorse_blue_pl|披 甲 軍 馬 
itm_warhorse_yellow|披 甲 軍 馬 
itm_warhorse_yellow_pl|披 甲 軍 馬 
itm_warhorse_player|自 制 披 甲 軍 馬 
itm_warhorse_player_pl|自 制 披 甲 軍 馬 
itm_warhorse_lionel|披 甲 軍 馬 
itm_warhorse_lionel_pl|披 甲 軍 馬 
itm_warhorse_lethwin|披 甲 軍 馬 
itm_warhorse_lethwin_pl|披 甲 軍 馬 
itm_rnd_horse_01|罩 袍 軍 馬 
itm_rnd_horse_01_pl|罩 袍 軍 馬 
itm_rnd_horse_02|罩 袍 軍 馬 
itm_rnd_horse_02_pl|罩 袍 軍 馬 
itm_rnd_horse_03|罩 袍 軍 馬 
itm_rnd_horse_03_pl|罩 袍 軍 馬 
itm_rnd_horse_04|罩 袍 軍 馬 
itm_rnd_horse_04_pl|罩 袍 軍 馬 
itm_rnd_horse_05|罩 袍 軍 馬 
itm_rnd_horse_05_pl|罩 袍 軍 馬 
itm_rnd_horse_06|罩 袍 軍 馬 
itm_rnd_horse_06_pl|罩 袍 軍 馬 
itm_rnd_horse_07|罩 袍 軍 馬 
itm_rnd_horse_07_pl|罩 袍 軍 馬 
itm_rnd_horse_08|罩 袍 軍 馬 
itm_rnd_horse_08_pl|罩 袍 軍 馬 
itm_rnd_horse_09|罩 袍 軍 馬 
itm_rnd_horse_09_pl|罩 袍 軍 馬 
itm_rnd_horse_10|罩 袍 軍 馬 
itm_rnd_horse_10_pl|罩 袍 軍 馬 
itm_rnd_horse_11|罩 袍 軍 馬 
itm_rnd_horse_11_pl|罩 袍 軍 馬 
itm_rnd_horse_12|罩 袍 軍 馬 
itm_rnd_horse_12_pl|罩 袍 軍 馬 
itm_rnd_horse_13|罩 袍 軍 馬 
itm_rnd_horse_13_pl|罩 袍 軍 馬 
itm_rnd_horse_14|罩 袍 軍 馬 
itm_rnd_horse_14_pl|罩 袍 軍 馬 
itm_rnd_horse_15|罩 袍 軍 馬 
itm_rnd_horse_15_pl|罩 袍 軍 馬 
itm_rnd_horse_16|罩 袍 軍 馬 
itm_rnd_horse_16_pl|罩 袍 軍 馬 
itm_rnd_horse_17|罩 袍 軍 馬 
itm_rnd_horse_17_pl|罩 袍 軍 馬 
itm_rnd_horse_18|罩 袍 軍 馬 
itm_rnd_horse_18_pl|罩 袍 軍 馬 
itm_rnd_horse_19|罩 袍 軍 馬 
itm_rnd_horse_19_pl|罩 袍 軍 馬 
itm_rnd_horse_20|罩 袍 軍 馬 
itm_rnd_horse_20_pl|罩 袍 軍 馬 
itm_rnd_horse_21|罩 袍 軍 馬 
itm_rnd_horse_21_pl|罩 袍 軍 馬 
itm_rnd_horse_22|罩 袍 軍 馬 
itm_rnd_horse_22_pl|罩 袍 軍 馬 
itm_rnd_horse_23|罩 袍 軍 馬 
itm_rnd_horse_23_pl|罩 袍 軍 馬 
itm_warhorse_denmark_a|丹 麥 軍 馬 
itm_warhorse_denmark_a_pl|丹 麥 軍 馬 
itm_warhorse_england_a|英 格 蘭 軍 馬 
itm_warhorse_england_a_pl|英 格 蘭 軍 馬 
itm_warhorse_devalence|英 格 蘭 軍 馬 
itm_warhorse_devalence_pl|英 格 蘭 軍 馬 
itm_warhorse_demontfort|英 格 蘭 軍 馬 
itm_warhorse_demontfort_pl|英 格 蘭 軍 馬 
itm_warhorse_mortimer|英 格 蘭 軍 馬 
itm_warhorse_mortimer_pl|英 格 蘭 軍 馬 
itm_warhorse_bigod|英 格 蘭 軍 馬 
itm_warhorse_bigod_pl|英 格 蘭 軍 馬 
itm_warhorse_dewarenne|英 格 蘭 軍 馬 
itm_warhorse_dewarenne_pl|英 格 蘭 軍 馬 
itm_warhorse_france_a|法 蘭 西 軍 馬 
itm_warhorse_france_a_pl|法 蘭 西 軍 馬 
itm_warhorse_hre_a|德 意 志 軍 馬 
itm_warhorse_hre_a_pl|德 意 志 軍 馬 
itm_warhorse_bohemia|波 希 米 亞 軍 馬 
itm_warhorse_bohemia_pl|波 希 米 亞 軍 馬 
itm_warhorse_hungary_a|匈 牙 利 軍 馬 
itm_warhorse_hungary_a_pl|匈 牙 利 軍 馬 
itm_warhorse_ireland_a|愛 爾 蘭 軍 馬 
itm_warhorse_ireland_a_pl|愛 爾 蘭 軍 馬 
itm_warhorse_lithuania_a|立 陶 宛 軍 馬 
itm_warhorse_lithuania_a_pl|立 陶 宛 軍 馬 
itm_warhorse_norway_a|挪 威 軍 馬 
itm_warhorse_norway_a_pl|挪 威 軍 馬 
itm_warhorse_novgorod_a|羅 斯 軍 馬 
itm_warhorse_novgorod_a_pl|羅 斯 軍 馬 
itm_warhorse_scotland_a|蘇 格 蘭 軍 馬 
itm_warhorse_scotland_a_pl|蘇 格 蘭 軍 馬 
itm_warhorse_sweden_a|瑞 典 軍 馬 
itm_warhorse_sweden_a_pl|瑞 典 軍 馬 
itm_warhorse_przemysl2|波 蘭 軍 馬 
itm_warhorse_przemysl2_pl|波 蘭 軍 馬 
itm_warhorse_czersk|波 蘭 軍 馬 
itm_warhorse_czersk_pl|波 蘭 軍 馬 
itm_warhorse_slask_a|罩 袍 軍 馬 
itm_warhorse_slask_a_pl|罩 袍 軍 馬 
itm_warhorse_siemowit_a|罩 袍 軍 馬 
itm_warhorse_siemowit_a_pl|罩 袍 軍 馬 
itm_warhorse_poland_a|波 蘭 軍 馬 
itm_warhorse_poland_a_pl|波 蘭 軍 馬 
itm_warhorse_poland_b|波 蘭 軍 馬 
itm_warhorse_poland_b_pl|波 蘭 軍 馬 
itm_warhorse_kaliskie_a|波 蘭 軍 馬 
itm_warhorse_kaliskie_a_pl|波 蘭 軍 馬 
itm_warhorse_gslask|波 蘭 軍 馬 
itm_warhorse_gslask_pl|波 蘭 軍 馬 
itm_warhorse_dslask|波 蘭 軍 馬 
itm_warhorse_dslask_pl|波 蘭 軍 馬 
itm_warhorse_swietopelk|波 蘭 軍 馬 
itm_warhorse_swietopelk_pl|波 蘭 軍 馬 
itm_warhorse_pol_a|波 蘭 軍 馬 
itm_warhorse_pol_a_pl|波 蘭 軍 馬 
itm_warhorse_pol_b|波 蘭 軍 馬 
itm_warhorse_pol_b_pl|波 蘭 軍 馬 
itm_warhorse_pol_c|波 蘭 軍 馬 
itm_warhorse_pol_c_pl|波 蘭 軍 馬 
itm_warhorse_pol_d|波 蘭 軍 馬 
itm_warhorse_pol_d_pl|波 蘭 軍 馬 
itm_warhorse_pol_e|波 蘭 軍 馬 
itm_warhorse_pol_e_pl|波 蘭 軍 馬 
itm_warhorse_pol_g|波 蘭 軍 馬 
itm_warhorse_pol_g_pl|波 蘭 軍 馬 
itm_warhorse_swidnica|波 蘭 軍 馬 
itm_warhorse_swidnica_pl|波 蘭 軍 馬 
itm_teu_warhorse_c|條 頓 軍 馬 
itm_teu_warhorse_c_pl|條 頓 軍 馬 
itm_teu_warhorse_b|條 頓 軍 馬 
itm_teu_warhorse_b_pl|條 頓 軍 馬 
itm_teu_warhorse_a|條 頓 軍 馬 
itm_teu_warhorse_a_pl|條 頓 軍 馬 
itm_mon_lamellar_horse_a|片 甲 軍 馬 
itm_mon_lamellar_horse_a_pl|片 甲 軍 馬 
itm_mon_lamellar_horse_b|片 甲 軍 馬 
itm_mon_lamellar_horse_b_pl|片 甲 軍 馬 
itm_mon_lamellar_horse_c|片 甲 軍 馬 
itm_mon_lamellar_horse_c_pl|片 甲 軍 馬 
itm_kau_montcada_horse|蒙 特 卡 達 軍 馬 
itm_kau_montcada_horse_pl|蒙 特 卡 達 軍 馬 
itm_kau_alego_horse|阿 勒 戈 軍 馬 
itm_kau_alego_horse_pl|阿 勒 戈 軍 馬 
itm_kau_cervello_horse|塞 爾 維 伊 歐 軍 馬 
itm_kau_cervello_horse_pl|塞 爾 維 伊 歐 軍 馬 
itm_kau_cruilles_horse|克 維 耶 斯 軍 馬
itm_kau_cruilles_horse_pl|克 維 耶 斯 軍 馬
itm_kau_epyres_horse|埃 皮 雷 斯 軍 馬 
itm_kau_epyres_horse_pl|埃 皮 雷 斯 軍 馬 
itm_kau_luna_horse|盧 納 軍 馬 
itm_kau_luna_horse_pl|盧 納 軍 馬 
itm_kau_reino_horse|雷 諾 軍 馬 
itm_kau_reino_horse_pl|雷 諾 軍 馬 
itm_kau_urgell_horse|烏 海 爾 軍 馬 
itm_kau_urgell_horse_pl|烏 海 爾 軍 馬 
itm_templar_warhorse_a|罩 袍 軍 馬 
itm_templar_warhorse_a_pl|罩 袍 軍 馬 
itm_hospitaller_warhorse_a|罩 袍 軍 馬 
itm_hospitaller_warhorse_a_pl|罩 袍 軍 馬 
itm_hospitaller_warhorse_b|罩 袍 軍 馬 
itm_hospitaller_warhorse_b_pl|罩 袍 軍 馬 
itm_warhorse_sarranid|片 甲 戰 馬 
itm_warhorse_sarranid_pl|片 甲 戰 馬 
itm_warhorse_steppe|片 甲 戰 馬 
itm_warhorse_steppe_pl|片 甲 戰 馬 
itm_byz_warhorse|片 甲 戰 馬 
itm_byz_warhorse_pl|片 甲 戰 馬 
itm_jerusalem_horse|罩 袍 軍 馬 
itm_jerusalem_horse_pl|罩 袍 軍 馬 
itm_tripoli_horse|罩 袍 軍 馬 
itm_tripoli_horse_pl|罩 袍 軍 馬 
itm_portugal_horse|罩 袍 軍 馬 
itm_portugal_horse_pl|罩 袍 軍 馬 
itm_castile_horse|罩 袍 軍 馬 
itm_castile_horse_pl|罩 袍 軍 馬 
itm_arrows|箭 
itm_arrows_pl|箭 
itm_khergit_arrows|蒙 古 箭 
itm_khergit_arrows_pl|蒙 古 箭 
itm_barbed_arrows|倒 刺 箭 
itm_barbed_arrows_pl|倒 刺 箭 
itm_bodkin_arrows|錐 頭 箭 
itm_bodkin_arrows_pl|錐 頭 箭 
itm_bolts|弩 矢 
itm_bolts_pl|弩 矢 
itm_steel_bolts|鋼 弩 矢 
itm_steel_bolts_pl|鋼 弩 矢 
itm_cartridges|彈 藥 筒 
itm_cartridges_pl|彈 藥 筒 
itm_pilgrim_disguise|朝 聖 者 服 
itm_pilgrim_disguise_pl|朝 聖 者 服 
itm_pilgrim_hood|朝 聖 者 風 帽 
itm_pilgrim_hood_pl|朝 聖 者 風 帽 
itm_leather_gloves|皮 手 套 
itm_leather_gloves_pl|皮 手 套 
itm_mail_mittens|鏈 甲 手 套 
itm_mail_mittens_pl|鏈 甲 手 套 
itm_scale_gauntlets|魚 鱗 甲 臂 鎧 
itm_scale_gauntlets_pl|魚 鱗 甲 臂 鎧 
itm_lamellar_gauntlets|片 甲 臂 鎧 
itm_lamellar_gauntlets_pl|片 甲 臂 鎧 
itm_wrapping_boots|綁 腿 
itm_wrapping_boots_pl|綁 腿 
itm_woolen_hose|羊 毛 裹 腿 
itm_woolen_hose_pl|羊 毛 裹 腿 
itm_blue_hose|藍 色 裹 腿 
itm_blue_hose_pl|藍 色 裹 腿 
itm_hunter_boots|獵 靴 
itm_hunter_boots_pl|獵 靴 
itm_hide_boots|獸 皮 靴 
itm_hide_boots_pl|獸 皮 靴 
itm_ankle_boots|短 靴 
itm_ankle_boots_pl|短 靴 
itm_nomad_boots|游 牧 靴 
itm_nomad_boots_pl|游 牧 靴 
itm_leather_boots|皮 靴 
itm_leather_boots_pl|皮 靴 
itm_splinted_leather_greaves|夾 板 式 皮 護 腿 
itm_splinted_leather_greaves_pl|夾 板 式 皮 護 腿 
itm_mail_chausses|鏈 甲 護 腿 
itm_mail_chausses_pl|鏈 甲 護 腿 
itm_splinted_greaves|夾 板 式 護 腿 
itm_splinted_greaves_pl|夾 板 式 護 腿 
itm_mail_boots|鏈 甲 靴 
itm_mail_boots_pl|鏈 甲 靴 
itm_khergit_leather_boots|蒙 古 皮 靴 
itm_khergit_leather_boots_pl|蒙 古 皮 靴 
itm_sarranid_boots_a|薩 拉 遜 鞋 
itm_sarranid_boots_a_pl|薩 拉 遜 鞋 
itm_sarranid_boots_b|薩 拉 遜 皮 靴 
itm_sarranid_boots_b_pl|薩 拉 遜 皮 靴 
itm_sarranid_boots_c|覆 板 靴 
itm_sarranid_boots_c_pl|覆 板 靴 
itm_sarranid_boots_d|薩 拉 遜 鏈 甲 靴 
itm_sarranid_boots_d_pl|薩 拉 遜 鏈 甲 靴 
itm_raf_mail_chausses|鏈 甲 護 腿 
itm_raf_mail_chausses_pl|鏈 甲 護 腿 
itm_kau_mail_boots_dark|鏈 甲 靴 
itm_kau_mail_boots_dark_pl|鏈 甲 靴 
itm_kau_mail_boots|鏈 甲 靴 
itm_kau_mail_boots_pl|鏈 甲 靴 
itm_rus_boots_a|羅 斯 靴 
itm_rus_boots_a_pl|羅 斯 靴 
itm_rus_boots_b|羅 斯 靴 
itm_rus_boots_b_pl|羅 斯 靴 
itm_mamluke_boots|馬 木 魯 克 靴 
itm_mamluke_boots_pl|馬 木 魯 克 靴 
itm_cuman_boots|庫 曼 靴 
itm_cuman_boots_pl|庫 曼 靴 
itm_byz_lord_boots|拜 占 庭 靴 
itm_byz_lord_boots_pl|拜 占 庭 靴 
itm_peasant_boots_a|鞋 
itm_peasant_boots_a_pl|鞋 
itm_peasant_boots_b|鞋 
itm_peasant_boots_b_pl|鞋 
itm_lapcie|東 歐 綁 腿 
itm_lapcie_pl|東 歐 綁 腿 
itm_byz_boots_c|拜 占 庭 皮 靴 
itm_byz_boots_c_pl|拜 占 庭 皮 靴 
itm_byz_cavalry_boots|拜 占 庭 皮 靴 
itm_byz_cavalry_boots_pl|拜 占 庭 皮 靴 
itm_byz_boots_a|拜 占 庭 皮 靴 
itm_byz_boots_a_pl|拜 占 庭 皮 靴 
itm_byz_boots_b|拜 占 庭 皮 靴 
itm_byz_boots_b_pl|拜 占 庭 皮 靴 
itm_red_dress|紅 色 裙 
itm_red_dress_pl|紅 色 裙 
itm_brown_dress|棕 色 裙 
itm_brown_dress_pl|棕 色 裙 
itm_green_dress|綠 色 裙 
itm_green_dress_pl|綠 色 裙 
itm_khergit_lady_dress|蒙 古 連 衣 裙 
itm_khergit_lady_dress_pl|蒙 古 連 衣 裙 
itm_khergit_lady_dress_b|蒙 古 女 式 皮 裙 
itm_khergit_lady_dress_b_pl|蒙 古 女 式 皮 裙 
itm_sarranid_lady_dress|薩 拉 遜 連 衣 裙 
itm_sarranid_lady_dress_pl|薩 拉 遜 連 衣 裙 
itm_sarranid_lady_dress_b|薩 拉 遜 連 衣 裙 
itm_sarranid_lady_dress_b_pl|薩 拉 遜 連 衣 裙 
itm_sarranid_common_dress|薩 拉 遜 裙 
itm_sarranid_common_dress_pl|薩 拉 遜 裙 
itm_sarranid_common_dress_b|薩 拉 遜 裙 
itm_sarranid_common_dress_b_pl|薩 拉 遜 裙 
itm_nomad_armor|游 牧 甲 
itm_nomad_armor_pl|游 牧 甲 
itm_khergit_armor|蒙 古 甲 
itm_khergit_armor_pl|蒙 古 甲 
itm_leather_jacket|皮 夾 克 
itm_leather_jacket_pl|皮 夾 克 
itm_rawhide_coat|生 皮 外 套 
itm_rawhide_coat_pl|生 皮 外 套 
itm_fur_coat|毛 皮 外 套 
itm_fur_coat_pl|毛 皮 外 套 
itm_merchant_outfit|商 人 服 
itm_merchant_outfit_pl|商 人 服 
itm_blue_dress|藍 色 連 衣 裙 
itm_blue_dress_pl|藍 色 連 衣 裙 
itm_peasant_dress|農 婦 連 衣 裙 
itm_peasant_dress_pl|農 婦 連 衣 裙 
itm_linen_tunic|亞 麻 短 袍 
itm_linen_tunic_pl|亞 麻 短 袍 
itm_short_tunic|紅 色 短 袍 
itm_short_tunic_pl|紅 色 短 袍 
itm_red_shirt|紅 色 襯 衫 
itm_red_shirt_pl|紅 色 襯 衫 
itm_robe|長 袍 
itm_robe_pl|長 袍 
itm_coarse_tunic|帶 背 心 短 袍 
itm_coarse_tunic_pl|帶 背 心 短 袍 
itm_leather_vest|皮 背 心 
itm_leather_vest_pl|皮 背 心 
itm_steppe_armor|草 原 甲 
itm_steppe_armor_pl|草 原 甲 
itm_gambeson_a|軟 鎧 甲 
itm_gambeson_a_pl|軟 鎧 甲 
itm_gambeson_b|軟 鎧 甲 
itm_gambeson_b_pl|軟 鎧 甲 
itm_gambeson_c|軟 鎧 甲 
itm_gambeson_c_pl|軟 鎧 甲 
itm_gambeson_d|軟 鎧 甲 
itm_gambeson_d_pl|軟 鎧 甲 
itm_padded_cloth|鎧 衣 
itm_padded_cloth_pl|鎧 衣 
itm_leather_jerkin|皮 短 袖 衣 
itm_leather_jerkin_pl|皮 短 袖 衣 
itm_nomad_vest|游 牧 背 心 
itm_nomad_vest_pl|游 牧 背 心 
itm_ragged_outfit|褶 皺 服 
itm_ragged_outfit_pl|褶 皺 服 
itm_tribal_warrior_outfit|部 落 勇 士 服 
itm_tribal_warrior_outfit_pl|部 落 勇 士 服 
itm_haubergeon|短 鎖 甲 
itm_haubergeon_pl|短 鎖 甲 
itm_lamellar_vest|片 甲 背 心 
itm_lamellar_vest_pl|片 甲 背 心 
itm_lamellar_vest_khergit|蒙 古 片 甲 背 心 
itm_lamellar_vest_khergit_pl|蒙 古 片 甲 背 心 
itm_mail_with_surcoat|鏈 甲 帶 罩 衫 
itm_mail_with_surcoat_pl|鏈 甲 帶 罩 衫 
itm_surcoat_over_mail|帶 罩 衫 鏈 甲 
itm_surcoat_over_mail_pl|帶 罩 衫 鏈 甲 
itm_coat_of_plates|無 袖 板 甲 
itm_coat_of_plates_pl|無 袖 板 甲 
itm_coat_of_plates_red|無 袖 板 甲 
itm_coat_of_plates_red_pl|無 袖 板 甲 
itm_pelt_coat|毛 皮 外 套 
itm_pelt_coat_pl|毛 皮 外 套 
itm_bishop_cop|無 袖 板 甲 
itm_bishop_cop_pl|無 袖 板 甲 
itm_sarranid_cloth_robe|舊 長 袍 
itm_sarranid_cloth_robe_pl|舊 長 袍 
itm_sarranid_cloth_robe_b|舊 長 袍 
itm_sarranid_cloth_robe_b_pl|舊 長 袍 
itm_skirmisher_armor|游 擊 射 手 甲 
itm_skirmisher_armor_pl|游 擊 射 手 甲 
itm_archers_vest|射 手 加 襯 背 心 
itm_archers_vest_pl|射 加 襯 棉 背 心 
itm_sarranid_leather_armor|薩 拉 遜 加 襯 長 衫 
itm_sarranid_leather_armor_pl|薩 拉 遜 加 襯 長 衫 
itm_sarranid_cavalry_robe|騎 兵 長 袍 
itm_sarranid_cavalry_robe_pl|騎 兵 長 袍 
itm_arabian_armor_b|薩 拉 遜 衛 士 甲 
itm_arabian_armor_b_pl|薩 拉 遜 衛 士 甲 
itm_sarranid_mail_shirt|薩 拉 遜 鏈 甲 衫 
itm_sarranid_mail_shirt_pl|薩 拉 遜 鏈 甲 衫 
itm_mamluke_mail|馬 穆 魯 克 鏈 甲 
itm_mamluke_mail_pl|馬 穆 魯 克 鏈 甲 
itm_veteran_surcoat_a|罩 袍 鏈 甲 
itm_veteran_surcoat_a_pl|罩 袍 鏈 甲 
itm_veteran_surcoat_b|罩 袍 鏈 甲 
itm_veteran_surcoat_b_pl|罩 袍 鏈 甲 
itm_veteran_surcoat_c|罩 袍 鏈 甲 
itm_veteran_surcoat_c_pl|罩 袍 鏈 甲 
itm_veteran_surcoat_d|罩 袍 鏈 甲 
itm_veteran_surcoat_d_pl|罩 袍 鏈 甲 
itm_veteran_surcoat_e|罩 袍 鏈 甲 
itm_veteran_surcoat_e_pl|罩 袍 鏈 甲 
itm_arena_outfit_a|罩 袍 鏈 甲 
itm_arena_outfit_a_pl|罩 袍 鏈 甲 
itm_arena_outfit_b|罩 袍 鏈 甲 
itm_arena_outfit_b_pl|罩 袍 鏈 甲 
itm_arena_outfit_c|罩 袍 鏈 甲 
itm_arena_outfit_c_pl|罩 袍 鏈 甲 
itm_arena_outfit_d|罩 袍 鏈 甲 
itm_arena_outfit_d_pl|罩 袍 鏈 甲 
itm_kau_aragon_knight|阿 拉 貢 鏈 甲 
itm_kau_aragon_knight_pl|阿 拉 貢 鏈 甲 
itm_kau_aragon_a|阿 拉 貢 鏈 甲 
itm_kau_aragon_a_pl|阿 拉 貢 鏈 甲 
itm_kau_aragon_b|阿 拉 貢 鏈 甲 
itm_kau_aragon_b_pl|阿 拉 貢 鏈 甲 
itm_kau_aragon_c|阿 拉 貢 鏈 甲 
