trp_multiplayer_profile_troop_male|聯 機 男 性 玩 家 角 色 
trp_merc_sicily_foot_archer_2_pl|西 西 裡 護 衛 弓 箭 手 
trp_merc_sicily_horse_archer_1|西 西 裡 雇 佣 騎 手 
trp_merc_sicily_horse_archer_1_pl|西 西 裡 雇 佣 騎 手 
trp_merc_sicily_horse_archer_2|西 西 裡 護 衛 騎 兵 
trp_merc_sicily_horse_archer_2_pl|西 西 裡 護 衛 騎 兵 
trp_merc_sicily_infantry_1|西 西 裡 雇 佣 步 兵 
trp_merc_sicily_infantry_1_pl|西 西 裡 雇 佣 步 兵 
trp_merc_sicily_infantry_2|西 西 裡 護 衛 步 兵 
trp_merc_sicily_infantry_2_pl|西 西 裡 護 衛 步 兵 
trp_merc_maghreb_cavalry_1|贊 那 塔 外 籍 雇 佣 騎 手 
trp_merc_maghreb_cavalry_1_pl|贊 那 塔 外 籍 雇 佣 騎 手 
trp_merc_maghreb_infantry_1|馬 格 利 布 外 籍 雇 佣 步 兵 
trp_merc_maghreb_infantry_1_pl|馬 格 利 布 外 籍 雇 佣 步 兵 
trp_merc_brabantine_xbow|布 拉 班 特 弩 手 
trp_merc_brabantine_xbow_pl|布 拉 班 特 弩 手 
trp_merc_brabantine_spearman|布 拉 班 特 方 陣 長 矛 手 
trp_merc_brabantine_spearman_pl|布 拉 班 特 方 陣 長 矛 手 
trp_merc_brabantine_guisarm|布 拉 班 特 鉤 鐮 兵 
trp_merc_brabantine_guisarm_pl|布 拉 班 特 鉤 鐮 兵 
trp_merc_welsh_bowman|威 爾 士 長 弓 手 
trp_merc_welsh_bowman_pl|威 爾 士 長 弓 手 
trp_merc_kern_infantry|蓋 爾 雇 佣 輕 步 兵 
trp_merc_kern_infantry_pl|蓋 爾 雇 佣 輕 步 兵 
trp_merc_almogabar|雇 佣 斥 候 擲 矛 手 
trp_merc_almogabar_pl|雇 佣 斥 候 擲 矛 手 
trp_cuman_tribesman|庫 曼 族 人 
trp_cuman_tribesman_pl|庫 曼 族 人 
trp_cuman_skirmisher|庫 曼 斥 候 騎 兵 
trp_cuman_skirmisher_pl|庫 曼 斥 候 騎 兵 
trp_cuman_horseman|庫 曼 騎 手 
trp_cuman_horseman_pl|庫 曼 騎 手 
trp_cuman_horse_archer|庫 曼 騎 射 手 
trp_cuman_horse_archer_pl|庫 曼 騎 射 手 
trp_cuman_veteran_horse_archer|庫 曼 資 深 弓 騎 兵 
trp_cuman_veteran_horse_archer_pl|庫 曼 資 深 弓 騎 兵 
trp_cuman_lancer|庫 曼 槍 騎 兵 
trp_cuman_lancer_pl|庫 曼 槍 騎 兵 
trp_cuman_heavy_lancer|庫 曼 重 甲 槍 騎 兵 
trp_cuman_heavy_lancer_pl|庫 曼 重 甲 槍 騎 兵 
trp_gaelic_merc_spearman|蓋 爾 雇 佣 長 矛 手 
trp_gaelic_merc_spearman_pl|蓋 爾 雇 佣 長 矛 手 
trp_gaelic_merc_swordsman_1|蓋 爾 雇 佣 劍 士 
trp_gaelic_merc_swordsman_1_pl|蓋 爾 雇 佣 劍 士 
trp_gaelic_merc_axeman_1|蓋 爾 雇 佣 長 斧 手 
trp_gaelic_merc_axeman_1_pl|蓋 爾 雇 佣 長 斧 手 
trp_gaelic_merc_swordsman_2|蓋 爾 雇 佣 劍 客 
trp_gaelic_merc_swordsman_2_pl|蓋 爾 雇 佣 劍 客 
trp_gaelic_merc_axeman_2|蓋 爾 雇 佣 長 斧 勇 士 
trp_gaelic_merc_axeman_2_pl|蓋 爾 雇 佣 長 斧 勇 士 
trp_crusader_turkopole|雇 佣 土 耳 其 騎 射 手 
trp_crusader_turkopole_pl|雇 佣 土 耳 其 騎 射 手 
trp_templar_crossbows_sergeant|聖 殿 騎 士 團 教 友 持 弩 軍 士 
trp_templar_crossbows_sergeant_pl|聖 殿 騎 士 團 教 友 持 弩 軍 士 
trp_templar_swords_sergeant|聖 殿 騎 士 團 教 友 步 兵 軍 士 
trp_templar_swords_sergeant_pl|聖 殿 騎 士 團 教 友 步 兵 軍 士 
trp_templar_spears_sergeant|聖 殿 騎 士 團 教 友 長 矛 軍 士 
trp_templar_spears_sergeant_pl|聖 殿 騎 士 團 教 友 長 矛 軍 士 
trp_templar_half_brother|聖 殿 騎 士 團 教 友 侍 從 騎 士 
trp_templar_half_brother_pl|聖 殿 騎 士 團 教 友 侍 從 騎 士 
trp_templar_knight|聖 殿 騎 士 
trp_templar_knight_pl|聖 殿 騎 士 
trp_hospitaller_swords_sergeant|醫 院 騎 士 團 教 友 步 兵 軍 士 
trp_hospitaller_swords_sergeant_pl|醫 院 騎 士 團 教 友 步 兵 軍 士 
trp_hospitaller_spears_sergeant|醫 院 騎 士 團 教 友 長 矛 軍 士 
trp_hospitaller_spears_sergeant_pl|醫 院 騎 士 團 教 友 長 矛 軍 士 
trp_hospitaller_crossbows_sergeant|醫 院 騎 士 團 教 友 持 弩 軍 士 
trp_hospitaller_crossbows_sergeant_pl|醫 院 騎 士 團 教 友 持 弩 軍 士 
trp_hospitaller_half_brother|醫 院 騎 士 團 教 友 侍 從 騎 士 
trp_hospitaller_half_brother_pl|醫 院 騎 士 團 教 友 侍 從 騎 士 
trp_hospitaller_knight|醫 院 騎 士 
trp_hospitaller_knight_pl|醫 院 騎 士 
trp_mercenaries_end|mercenaries end
trp_mercenaries_end_pl|mercenaries end
trp_teu_village_recruit|波 羅 的 海 村 民 
trp_teu_village_recruit_pl|波 羅 的 海 村 民 
trp_teu_balt_1|波 羅 的 海 族 人 
trp_teu_balt_1_pl|波 羅 的 海 族 人 
trp_teu_balt_2|波 羅 的 海 勇 士 
trp_teu_balt_2_pl|波 羅 的 海 勇 士 
trp_teu_balt_3|波 羅 的 海 輔 助 輕 騎 兵 
trp_teu_balt_3_pl|波 羅 的 海 輔 助 輕 騎 兵 
trp_teu_ger_1|德 意 志 定 居 者 
trp_teu_ger_1_pl|德 意 志 定 居 者 
trp_teu_ger_2_1|條 頓 騎 士 團 鉤 鐮 兵 
trp_teu_ger_2_1_pl|條 頓 騎 士 團 鉤 鐮 兵 
trp_teu_ger_2_2|條 頓 騎 士 團 軍 士 
trp_teu_ger_2_2_pl|條 頓 騎 士 團 軍 士 
trp_teu_ger_3_2|條 頓 騎 士 團 步 行 准 騎 士 
trp_teu_ger_3_2_pl|條 頓 騎 士 團 步 行 准 騎 士 
trp_teu_town_1|德 意 志 民 兵 
trp_teu_town_1_pl|德 意 志 民 兵 
trp_teu_town_2_1|德 意 志 民 兵 長 矛 手 
trp_teu_town_2_1_pl|德 意 志 民 兵 長 矛 手 
trp_teu_town_3_1|條 頓 騎 士 團 長 矛 兵 
trp_teu_town_3_1_pl|條 頓 騎 士 團 長 矛 兵 
trp_teu_town_4_1|條 頓 騎 士 團 資 深 長 矛 兵 
trp_teu_town_4_1_pl|條 頓 騎 士 團 資 深 長 矛 兵 
trp_teu_town_2_2|德 意 志 城 鎮 民 兵 弩 手 
trp_teu_town_2_2_pl|德 意 志 城 鎮 民 兵 弩 手 
trp_teu_town_3_2|條 頓 騎 士 團 弩 兵 
trp_teu_town_3_2_pl|條 頓 騎 士 團 弩 兵 
trp_teu_town_4_2|條 頓 騎 士 團 資 深 弩 兵 
trp_teu_town_4_2_pl|條 頓 騎 士 團 資 深 弩 兵 
trp_teu_horse_1|條 頓 騎 士 團 隨 從 騎 手 
trp_teu_horse_1_pl|條 頓 騎 士 團 隨 從 騎 手 
trp_teu_horse_2|條 頓 騎 士 團 騎 馬 軍 士 
trp_teu_horse_2_pl|條 頓 騎 士 團 騎 馬 軍 士 
trp_teu_horse_3|條 頓 騎 士 團 准 騎 士 
trp_teu_horse_3_pl|條 頓 騎 士 團 准 騎 士 
trp_teu_horse_4|條 頓 騎 士 
trp_teu_horse_4_pl|條 頓 騎 士 
trp_teutonic_messenger|條 頓 信 使 
trp_teutonic_messenger_pl|條 頓 信 使 
trp_teutonic_deserter|條 頓 逃 兵 
trp_teutonic_deserter_pl|條 頓 逃 兵 
trp_teutonic_prison_guard|監 獄 看 守 
trp_teutonic_prison_guard_pl|監 獄 看 守 
trp_teutonic_castle_guard|城 堡 守 衛 
trp_teutonic_castle_guard_pl|城 堡 守 衛 
trp_tatar_tribesman|蒙 古 新 兵 
trp_tatar_tribesman_pl|蒙 古 新 兵 
trp_tatar_skirmisher|蒙 古 射 手 
trp_tatar_skirmisher_pl|蒙 古 射 手 
trp_tatar_horseman|蒙 古 帶 盔 兵 士 
trp_tatar_horseman_pl|蒙 古 帶 盔 兵 士 
trp_tatar_horse_archer|蒙 古 復 合 弓 手 
trp_tatar_horse_archer_pl|蒙 古 復 合 弓 手 
trp_tatar_veteran_horse_archer|蒙 古 神 射 手 
trp_tatar_veteran_horse_archer_pl|蒙 古 神 射 手 
trp_tatar_lancer|蒙 古 甲 士 
trp_tatar_lancer_pl|蒙 古 甲 士 
trp_tatar_heavy_lancer|蒙 古 把 阿 禿 兒 
trp_tatar_heavy_lancer_pl|蒙 古 把 阿 禿 兒 
trp_tatar_messenger|蒙 古 信 使 
trp_tatar_messenger_pl|蒙 古 信 使 
trp_tatar_deserter|蒙 古 逃 兵 
trp_tatar_deserter_pl|蒙 古 逃 兵 
trp_tatar_prison_guard|監 獄 看 守 
trp_tatar_prison_guard_pl|監 獄 看 守 
trp_tatar_castle_guard|城 堡 守 衛 
trp_tatar_castle_guard_pl|城 堡 守 衛 
trp_polish_messenger|波 蘭 信 使 
trp_polish_messenger_pl|波 蘭 信 使 
trp_polish_deserter|波 蘭 逃 兵 
trp_polish_deserter_pl|波 蘭 逃 兵 
trp_polish_prison_guard|監 獄 看 守 
trp_polish_prison_guard_pl|監 獄 看 守 
trp_polish_castle_guard|城 堡 守 衛 
trp_polish_castle_guard_pl|城 堡 守 衛 
trp_lithuanian_messenger|立 陶 宛 信 使 
trp_lithuanian_messenger_pl|立 陶 宛 信 使 
trp_lithuanian_deserter|立 陶 宛 逃 兵 
trp_lithuanian_deserter_pl|立 陶 宛 逃 兵 
trp_lithuanian_prison_guard|監 獄 看 守 
trp_lithuanian_prison_guard_pl|監 獄 看 守 
trp_lithuanian_castle_guard|城 堡 守 衛 
trp_lithuanian_castle_guard_pl|城 堡 守 衛 
trp_hre_messenger|神 聖 羅 馬 帝 國 信 使 
trp_hre_messenger_pl|神 聖 羅 馬 帝 國 信 使 
trp_hre_deserter|神 聖 羅 馬 帝 國 逃 兵 
trp_hre_deserter_pl|神 聖 羅 馬 帝 國 逃 兵 
trp_hre_prison_guard|監 獄 看 守 
trp_hre_prison_guard_pl|監 獄 看 守 
trp_hre_castle_guard|城 堡 守 衛 
trp_hre_castle_guard_pl|城 堡 守 衛 
trp_hungarian_messenger|匈 牙 利 信 使 
trp_hungarian_messenger_pl|匈 牙 利 信 使 
trp_hungarian_deserter|匈 牙 利 逃 兵 
trp_hungarian_deserter_pl|匈 牙 利 逃 兵 
trp_hungarian_prison_guard|監 獄 看 守 
trp_hungarian_prison_guard_pl|監 獄 看 守 
trp_hungarian_castle_guard|城 堡 守 衛 
trp_hungarian_castle_guard_pl|城 堡 守 衛 
trp_russian_messenger|諾 夫 哥 羅 德 共 和 國 信 使 
trp_russian_messenger_pl|諾 夫 哥 羅 德 共 和 國 信 使 
trp_russian_deserter|諾 夫 哥 羅 德 共 和 國 逃 兵 
trp_russian_deserter_pl|諾 夫 哥 羅 德 共 和 國 逃 兵 
trp_russian_prison_guard|監 獄 看 守 
trp_russian_prison_guard_pl|監 獄 看 守 
trp_russian_castle_guard|城 堡 守 衛 
trp_russian_castle_guard_pl|城 堡 守 衛 
trp_danish_messenger|丹 麥 信 使 
trp_danish_messenger_pl|丹 麥 信 使 
trp_danish_deserter|丹 麥 逃 兵 
trp_danish_deserter_pl|丹 麥 逃 兵 
trp_danish_prison_guard|監 獄 守 衛 
trp_danish_prison_guard_pl|監 獄 守 衛 
trp_danish_castle_guard|城 堡 守 衛 
trp_danish_castle_guard_pl|城 堡 守 衛 
trp_english_messenger|英 格 蘭 信 使 
trp_english_messenger_pl|英 格 蘭 信 使 
trp_english_deserter|英 格 蘭 逃 兵 
trp_english_deserter_pl|英 格 蘭 逃 兵 
trp_english_prison_guard|監 獄 看 守 
trp_english_prison_guard_pl|監 獄 看 守 
trp_english_castle_guard|城 堡 守 衛 
trp_english_castle_guard_pl|城 堡 守 衛 
trp_french_messenger|法 蘭 西 信 使 
trp_french_messenger_pl|法 蘭 西 信 使 
trp_french_deserter|法 蘭 西 逃 兵 
trp_french_deserter_pl|法 蘭 西 逃 兵 
trp_french_prison_guard|監 獄 看 守 
trp_french_prison_guard_pl|監 獄 看 守 
trp_french_castle_guard|城 堡 守 衛 
trp_french_castle_guard_pl|城 堡 守 衛 
trp_swedish_messenger|瑞 典 信 使 
trp_swedish_messenger_pl|瑞 典 信 使 
trp_swedish_deserter|瑞 典 逃 兵 
trp_swedish_deserter_pl|瑞 典 逃 兵 
trp_swedish_prison_guard|監 獄 守 衛 
trp_swedish_prison_guard_pl|監 獄 守 衛 
trp_swedish_castle_guard|城 堡 守 衛 
trp_swedish_castle_guard_pl|城 堡 守 衛 
trp_norwegian_messenger|挪 威 信 使 
trp_norwegian_messenger_pl|挪 威 信 使 
trp_norwegian_deserter|挪 威 逃 兵 
trp_norwegian_deserter_pl|挪 威 逃 兵 
trp_norwegian_prison_guard|監 獄 守 衛 
trp_norwegian_prison_guard_pl|監 獄 守 衛 
trp_norwegian_castle_guard|城 堡 守 衛 
trp_norwegian_castle_guard_pl|城 堡 守 衛 
trp_scottish_messenger|蘇 格 蘭 信 使 
trp_scottish_messenger_pl|蘇 格 蘭 信 使 
trp_scottish_deserter|蘇 格 蘭 逃 兵 
trp_scottish_deserter_pl|蘇 格 蘭 逃 兵 
trp_scottish_prison_guard|監 獄 看 守 
trp_scottish_prison_guard_pl|監 獄 看 守 
trp_scottish_castle_guard|城 堡 守 衛 
trp_scottish_castle_guard_pl|城 堡 守 衛 
trp_irish_messenger|愛 爾 蘭 信 使 
trp_irish_messenger_pl|愛 爾 蘭 信 使 
trp_irish_deserter|愛 爾 蘭 逃 兵 
trp_irish_deserter_pl|愛 爾 蘭 逃 兵 
trp_irish_prison_guard|監 獄 看 守 
trp_irish_prison_guard_pl|監 獄 看 守 
trp_irish_castle_guard|城 堡 守 衛 
trp_irish_castle_guard_pl|城 堡 守 衛 
trp_balkan_vil_1|巴 爾 干 農 奴 
trp_balkan_vil_1_pl|巴 爾 干 農 奴 
trp_balkan_vil_2_1|巴 爾 干 弓 箭 山 民 
trp_balkan_vil_2_1_pl|巴 爾 干 弓 箭 山 民 
trp_balkan_vil_3_1|巴 爾 干 雇 佣 弓 箭 手 
trp_balkan_vil_3_1_pl|巴 爾 干 雇 佣 弓 箭 手 
trp_balkan_vil_4_1|巴 爾 干 雇 佣 熟 練 弓 箭 手 
trp_balkan_vil_4_1_pl|巴 爾 干 雇 佣 熟 練 弓 箭 手 
trp_balkan_vil_2_2|巴 爾 干 山 民 戰 士 
trp_balkan_vil_2_2_pl|巴 爾 干 山 民 戰 士 
trp_balkan_vil_3_2_1|巴 爾 干 雇 佣 雙 手 斧 戰 士 
trp_balkan_vil_3_2_1_pl|巴 爾 干 雇 佣 雙 手 斧 戰 士 
trp_balkan_vil_3_2_2|巴 爾 干 雇 佣 步 兵 
trp_balkan_vil_3_2_2_pl|巴 爾 干 雇 佣 步 兵 
trp_balkan_vil_4_2_2|巴 爾 干 雇 佣 重 步 兵 
trp_balkan_vil_4_2_2_pl|巴 爾 干 雇 佣 重 步 兵 
trp_balkan_vil_3_1_1|巴 爾 干 標 槍 投 手 
trp_balkan_vil_3_1_1_pl|巴 爾 干 標 槍 投 手 
trp_balkan_vil_4_1_1|巴 爾 干 標 槍 兵 先 鋒 
trp_balkan_vil_4_1_1_pl|巴 爾 干 標 槍 兵 先 鋒 
trp_balkan_town_1|巴 爾 干 城 鎮 市 民 
trp_balkan_town_1_pl|巴 爾 干 城 鎮 市 民 
trp_balkan_town_2_1|巴 爾 干 民 兵 長 矛 手 
trp_balkan_town_2_1_pl|巴 爾 干 民 兵 長 矛 手 
trp_balkan_town_3_1|巴 爾 干 長 矛 手 
trp_balkan_town_3_1_pl|巴 爾 干 長 矛 手 
trp_balkan_town_4_1|巴 爾 干 重 裝 長 矛 軍 士 
trp_balkan_town_4_1_pl|巴 爾 干 重 裝 長 矛 軍 士 
trp_balkan_town_2_2|巴 爾 干 民 兵 射 手 
trp_balkan_town_2_2_pl|巴 爾 干 民 兵 射 手 
trp_balkan_town_3_2|巴 爾 干 弓 箭 手 
trp_balkan_town_3_2_pl|巴 爾 干 弓 箭 手 
trp_balkan_town_4_2|巴 爾 干 重 裝 弓 箭 手 
trp_balkan_town_4_2_pl|巴 爾 干 重 裝 弓 箭 手 
trp_balkan_horse_1|巴 爾 干 騎 馬 戰 士 
trp_balkan_horse_1_pl|巴 爾 干 騎 馬 戰 士 
trp_balkan_horse_2|巴 爾 干 騎 兵 
trp_balkan_horse_2_pl|巴 爾 干 騎 兵
trp_balkan_horse_3|巴 爾 干 騎 士 
trp_balkan_horse_3_pl|巴 爾 干 騎 士 
trp_balkan_horse_4|巴 爾 干 貴 族 騎 士 
trp_balkan_horse_4_pl|巴 爾 干 貴 族 騎 士 
trp_rus_vil_1|羅 斯 征 召 農 奴 
trp_rus_vil_1_pl|羅 斯 征 召 農 奴 
trp_rus_vil_2_1|羅 斯 民 兵 
trp_rus_vil_2_1_pl|羅 斯 民 兵 
trp_rus_vil_3_1|羅 斯 青 年 戰 士 
trp_rus_vil_3_1_pl|羅 斯 青 年 戰 士 
trp_rus_vil_4_1|羅 斯 長 斧 戰 士 
trp_rus_vil_4_1_pl|羅 斯 長 斧 戰 士 
trp_rus_vil_2_2|羅 斯 獵 人 
trp_rus_vil_2_2_pl|羅 斯 獵 人 
trp_rus_vil_3_2|羅 斯 青 年 射 手 
trp_rus_vil_3_2_pl|羅 斯 青 年 射 手 
trp_rus_vil_4_2|羅 斯 精 銳 射 手 
trp_rus_vil_4_2_pl|羅 斯 精 銳 射 手 
trp_rus_town_1|羅 斯 城 鎮 民 兵 
trp_rus_town_1_pl|羅 斯 城 鎮 民 兵 
trp_rus_town_2|羅 斯 輕 步 兵 
trp_rus_town_2_pl|羅 斯 輕 步 兵 
trp_rus_town_3_1|羅 斯 青 年 步 兵 
trp_rus_town_3_1_pl|羅 斯 青 年 步 兵 
trp_rus_town_4_1|羅 斯 重 步 兵 
trp_rus_town_4_1_pl|羅 斯 重 步 兵 
trp_rus_town_3_2|羅 斯 長 矛 兵 
trp_rus_town_3_2_pl|羅 斯 長 矛 兵 
trp_rus_town_4_2|羅 斯 重 裝 長 矛 兵 
trp_rus_town_4_2_pl|羅 斯 重 裝 長 矛 兵 
trp_rus_horse_1|羅 斯 騎 射 手 
trp_rus_horse_1_pl|羅 斯 騎 射 手 
trp_rus_horse_2|羅 斯 貴 族 槍 騎 兵 
trp_rus_horse_2_pl|羅 斯 貴 族 槍 騎 兵 
trp_rus_horse_3|羅 斯 親 衛 騎 兵 
trp_rus_horse_3_pl|羅 斯 親 衛 騎 兵 
trp_rus_horse_4|羅 斯 波 耶 重 騎 兵 
trp_rus_horse_4_pl|羅 斯 波 耶 重 騎 兵 
trp_nordic_village_recruit|北 歐 民 兵 
trp_nordic_village_recruit_pl|北 歐 民 兵 
trp_nordic_town_recruit|北 歐 城 鎮 民 兵 
trp_nordic_town_recruit_pl|北 歐 城 鎮 民 兵 
trp_nordic_town_footman|北 歐 步 兵 
trp_nordic_town_footman_pl|北 歐 步 兵 
trp_nordic_swordsman|北 歐 勇 士 
trp_nordic_swordsman_pl|北 歐 勇 士 
trp_nordic_veteran_swordsman|北 歐 戰 士 
trp_nordic_veteran_swordsman_pl|北 歐 戰 士 
trp_nordic_swords_sergeant|北 歐 重 甲 戰 士 
trp_nordic_swords_sergeant_pl|北 歐 重 甲 戰 士 
trp_nordic_billman|北 歐 長 斧 勇 士 
trp_nordic_billman_pl|北 歐 長 斧 勇 士 
trp_nordic_veteran_billman|北 歐 長 斧 戰 士 
trp_nordic_veteran_billman_pl|北 歐 長 斧 戰 士 
trp_nordic_bills_sergeant|北 歐 長 斧 狂 戰 士 
trp_nordic_bills_sergeant_pl|北 歐 長 斧 狂 戰 士 
trp_nordic_spearman|北 歐 長 矛 勇 士 
trp_nordic_spearman_pl|北 歐 長 矛 勇 士 
trp_nordic_veteran_spearman|北 歐 長 矛 戰 士 
trp_nordic_veteran_spearman_pl|北 歐 長 矛 戰 士 
trp_nordic_spears_sergeant|北 歐 重 甲 長 矛 戰 士 
trp_nordic_spears_sergeant_pl|北 歐 重 甲 長 矛 戰 士 
trp_nordic_crossbowman|北 歐 持 弩 民 兵 
trp_nordic_crossbowman_pl|北 歐 持 弩 民 兵 
trp_nordic_veteran_crossbowman|北 歐 輕 弩 兵 
trp_nordic_veteran_crossbowman_pl|北 歐 輕 弩 兵 
trp_nordic_crossbows_sergeant|北 歐 持 盾 重 裝 弩 兵 
trp_nordic_crossbows_sergeant_pl|北 歐 持 盾 重 裝 弩 兵 
trp_nordic_veteran_archer|北 歐 弓 箭 手 
trp_nordic_veteran_archer_pl|北 歐 弓 箭 手 
trp_nordic_bows_sergeant|北 歐 長 弓 兵 
trp_nordic_bows_sergeant_pl|北 歐 長 弓 兵 
trp_nordic_light_cavalry|北 歐 輕 裝 槍 騎 兵 
trp_nordic_light_cavalry_pl|北 歐 輕 裝 槍 騎 兵 
trp_nordic_medium_cavalry|北 歐 槍 騎 兵 
trp_nordic_medium_cavalry_pl|北 歐 槍 騎 兵 
trp_nordic_squire|北 歐 騎 士 侍 從 
trp_nordic_squire_pl|北 歐 騎 士 侍 從 
trp_nordic_knight|北 歐 封 建 騎 士 
trp_nordic_knight_pl|北 歐 封 建 騎 士 
trp_balt_recruit|波 羅 的 海 新 兵 
trp_balt_recruit_pl|波 羅 的 海 新 兵 
trp_balt_footman|波 羅 的 海 輕 步 兵 
trp_balt_footman_pl|波 羅 的 海 輕 步 兵 
trp_balt_skirmisher|波 羅 的 海 擲 矛 民 兵 
trp_balt_skirmisher_pl|波 羅 的 海 擲 矛 民 兵 
trp_balt_billman|波 羅 的 海 斧 手 
trp_balt_billman_pl|波 羅 的 海 斧 手 
trp_balt_veteran_billman|波 羅 的 海 資 深 斧 衛 
trp_balt_veteran_billman_pl|波 羅 的 海 資 深 斧 衛 
trp_balt_spearman|波 羅 的 海 長 矛 手 
trp_balt_spearman_pl|波 羅 的 海 長 矛 手
trp_balt_veteran_spearman|波 羅 的 海 重 裝 長 矛 手 
trp_balt_veteran_spearman_pl|波 羅 的 海 重 裝 長 矛 手 
trp_balt_archer|波 羅 的 海 弓 箭 手 
trp_balt_archer_pl|波 羅 的 海 弓 箭 手 
trp_balt_veteran_archer|波 羅 的 海 熟 練 弓 箭 手 
trp_balt_veteran_archer_pl|波 羅 的 海 熟 練 弓 箭 手 
trp_balt_jav|波 羅 的 海 標 槍 兵 
trp_balt_jav_pl|波 羅 的 海 標 槍 兵 
trp_balt_veteran_jav|波 羅 的 海 資 深 標 槍 兵 
