qstr_{reg61}.0{reg62}|{reg61}.0{reg62}
qstr_{reg3?{s2}_s_locatio|{reg3?{s2}'s location was unknown:I don't know where {s2} is}.
qstr_{s6}_has_joined_your|{s6} has joined your party.
qstr_You_now_owe_{reg2}_d|You now owe {reg2} denars to {s1}.
qstr_Renown_value_for_thi|Renown value for this battle is {reg8}.
qstr_You_have_run_into_a_|You have run into a trap!
qstr_You_are_attacked_by_|You are attacked by a group of bandits!
qstr_Holding|Holding
qstr_Following|Following
qstr_Charging|Charging
qstr_Advancing|Advancing
qstr_Falling_Back|Falling Back
qstr_Standing_Closer|Standing Closer
qstr_Spreading_Out|Spreading Out
qstr_Standing|Standing
qstr_N/A|N/A
qstr_Free|Free
qstr_Any_Weapon|Any Weapon
qstr_Blunt_Weapons|Blunt Weapons
qstr_You_receive_an_item_|You receive an item as a token of appreciation for joining this faction.
qstr_{s1}_Rebels|{s1} Rebels
qstr_Given_by:_{s62}|Given by: {s62}
qstr_Given_on:_{s60}|Given on: {s60}
qstr_You_have_{reg0}_days|You have {reg0} days to finish this quest.
qstr_This_quest_has_been_|This quest has been concluded. Talk to {s59} to finish it.
qstr_This_quest_has_been_s|This quest has been successfully completed. Talk to {s59} to claim your reward.
qstr_This_quest_has_faile|This quest has failed. Talk to {s59} to explain the situation.
qstr_At_the_time_quest_wa|At the time quest was given:^{s1}
qstr_{s5}_has_a_strength_|{s5} has a strength of {reg1} men in total.
qstr_The_last_time_you_sa|The last time you saw {reg1?her:him}, {s1}
qstr_The_last_time_you_he|The last time you heard about {reg1?her:him}, {s1}
qstr_Current_garrison_con|Current garrison consists of {reg5} men.^Has food stock for {reg6} days.
qstr_Very_Poor|Very Poor
qstr_Poor|Poor
qstr_Average|Average
qstr_Rich|Rich
qstr_Very_Rich|Very Rich
qstr_common_bandits:_{reg|common bandits: {reg20}
qstr_forest_bandits:_{reg|forest bandits: {reg21}
qstr_sea_raiders:_{reg22}|sea raiders: {reg22}
qstr_robber_knights:_{reg|robber knights: {reg23}
qstr_desert_bandits:_{reg|desert bandits: {reg24}
qstr_steppe_bandits:_{reg|steppe bandits: {reg25}
qstr_taiga_bandits:_{reg2|taiga bandits: {reg25}
qstr_Lairs|Lairs
qstr_steppe:_{reg27}|steppe: {reg27}
qstr_common:{reg28}|common:{reg28}
qstr_sea_raider:{reg29}|sea raider:{reg29}
qstr_forest:{reg30}|forest:{reg30}
qstr_desert:{reg31}|desert:{reg31}
qstr_knights:{reg32}|knights:{reg32}
qstr_taiga:{reg33}|taiga:{reg33}
qstr_Manor|Manor
qstr_A_manor_lets_you_res|A manor lets you rest at the village and pay your troops half wages while you rest.
qstr_Mill|Mill
qstr_A_mill_increases_vil|A mill increases village prosperity by 5%.
qstr_Watch_Tower|Watch Tower
qstr_A_watch_tower_lets_t|A watch tower lets the villagers raise alarm earlier. The time it takes for enemies to loot the village increases by 50%.
qstr_School|School
qstr_A_shool_increases_th|A shool increases the loyality of the villagers to you by +1 every month.
qstr_Messenger_Post|Messenger Post
qstr_A_messenger_post_let|A messenger post lets the inhabitants send you a message whenever enemies are nearby, even if you are far away from here.
qstr_Prison_Tower|Prison Tower
qstr_A_prison_tower_reduc|A prison tower reduces the chance of captives held here running away successfully.
qstr_Prosperity_of_{s2}_h|Prosperity of {s2} has changed from {s3} to {s4}.
qstr_{s10}___home_{s14}_c|{s10} - home {s14} contacts {s15} faction {s16}
qstr_clash_with:_{s11}_an|clash with: {s11} and {s12} kingdom opponent: {s13}
qstr_morality_type:_{reg1|morality type: {reg10}/{reg11} morality2 type: {reg12}/{reg13}
qstr_reputation:_{reg14}|reputation: {reg14}
qstr_{s4}_looks_upset.|{s4} looks upset.
qstr_your_party|your party
qstr_{reg0?One_of_your_pr|{reg0?One of your prisoners, :}{s1} of {s3} has escaped from captivity!
qstr_You_brought_{reg3}_h|You brought {reg3} heads of cattle to {s1}.
qstr_I_heard_that_there_w|I heard that there will be a tournament in {s62} soon.
qstr_I_heard_that_one_can|I heard that one can buy {s62} very cheap at {s63}.
qstr_I_heard_that_they_pa|I heard that they pay a very high price for {s62} at {s63}.
qstr_attacks_neutral_{s20|attacks neutral {s20} {s21}
qstr_two_days_ago|two days ago
qstr_target:_{s51}___{reg|target: {s51} - {reg22} actor: {s52} - {reg23} strength ratio: {reg21} war damage: {reg24}
qstr_I_m_sorry_we_take_vo|I'm sorry, we take vows of chastity here and are not allowed to marry.
qstr_Best_threat_of_{s4}_|Best threat of {s4} has value level of {reg1}
qstr_No_center_found_to_d|No center found to defend
qstr_You_gain_right_to_ru|You gain right to rule.
qstr_You_lose_right_to_ru|You lose right to rule.
qstr_ERROR_in_party_conve|ERROR in party conversion script, faction {s21} - replacement is {s28}
qstr_No_Troops_Left.|No Troops Left.
qstr_Selected_Troop:_{s1}|Selected Troop: {s1}
qstr_Peasants_revolt_in_a|Peasants revolt in areas controlled by the {s25}!
qstr_{reg0}_denars_added_|{reg0} denars added to treasury.
qstr_{reg0}_denars_remove|{reg0} denars removed from treasury.
qstr_{s1}_and_{s2}_have_c|{s1} and {s2} have concluded an alliance with each other.
qstr_{s1}_and_{s2}_have_co|{s1} and {s2} have concluded a defensive pact with each other.
qstr_{s1}_and_{s2}_have_con|{s1} and {s2} have concluded a trade agreement with each other.
qstr_{s1}_and_{s2}_have_conc|{s1} and {s2} have concluded a non aggression pact with each other.
qstr_you|you
qstr_{s0}^{s1}|{s0}^{s1}
qstr_{s20}_____dest_slot_|{s20} --- dest slot {reg20}
qstr_#|#
qstr_{s0}{s1}|{s0}{s1}
qstr_{reg0}|{reg0}
qstr_applying_fixes__if_a|applying fixes (if any)
qstr_Faction:_{s21}|Faction: {s21}
qstr_ranks|ranks
qstr_shield_wall|shield wall
qstr_wedge|wedge
qstr_square|square
qstr_up|up
qstr_Infantry_forming_{s1|Infantry forming {s1}.
qstr_Not_enough_infantry_|Not enough infantry to form {s1}, but holding.
qstr_Cavalry_forming_{s1}|Cavalry forming {s1}.
qstr_Not_enough_cavalry_t|Not enough cavalry to form {s1}, but holding.
qstr_Archers_forming_{s1}|Archers forming {s1}.
qstr_Not_enough_archers_t|Not enough archers to form {s1}, but holding.
qstr_Infantry_formation_d|Infantry formation disassembled.
qstr_Cavalry_formation_di|Cavalry formation disassembled.
qstr_Archer_formation_dis|Archer formation disassembled.
qstr_Spearmen|Spearmen
qstr_Horse_Archers|Horse Archers
qstr_calculate_party_stre|calculate party strength [{s33}] --- offense: {reg0} defense: {reg1} size: {reg2}
qstr_You_got_keys_of_dung|You got keys of dungeon.
qstr_Retreat|Retreat
qstr_Releasing_spear.|Releasing spear.
qstr_Your_horse_received_|Your horse received {reg1} damage from a braced spear!
qstr_The_injury_causes_yo|The injury causes your grip on the spear to slip!
qstr_Spear_wall_dealt_{re|Spear-wall dealt {reg1} damage!
qstr_Bracing_spear_for_ch|Bracing spear for charge.
qstr_Battle_lost...|Battle lost...
qstr_Battle_lost!_Press_t|Battle lost! Press tab key to leave...
qstr_You_have_been_knocke|You have been knocked out by the enemy. Watch your men continue the fight without you or press Tab to retreat.
qstr_If_you_choose_to_wat|If you choose to watch the fight you can use the mouse scroll up and down to switch between troop view or AWDS keys for free camera view.
qstr_Forming_ranks.|Forming ranks.
qstr_You_must_stay_behind|You must stay behind the line on the ground! Point is not counted.
qstr_Tutorial|Tutorial
qstr_You_came_into_the_wo|You came into the world a {reg3?daughter:son} of declining nobility, owning only the house in which they lived. However, despite your family's hardships, they afforded you a good education and trained you from childhood for the rigors of aristocracy and life at court.
qstr_You_were_born_the_{r|You were born the {reg3?daughter:son} of travelling merchants, always moving from place to place in search of a profit. Although your parents were wealthier than most and educated you as well as they could, you found little opportunity to make friends on the road, living mostly for the moments when you could sell something to somebody.
qstr_As_a_child_your_fami|As a child, your family scrabbled out a meagre living from your father's wages as a guardsman to the local lord. It was not an easy existence, and you were too poor to get much of an education. You learned mainly how to defend yourself on the streets, with or without a weapon in hand.
qstr_{reg3?daughter:son}|{reg3?daughter:son}
qstr_You_were_the_{reg3?d|You were the {reg3?daughter:son} of a family who lived off the woods, doing whatever they needed to make ends meet. Hunting, woodcutting, making arrows, even a spot of poaching whenever things got tight. Winter was never a good time for your family as the cold took animals and people alike, but you always lived to see another dawn, though your brothers and sisters might not be so fortunate.
qstr_You_were_a_child_of_|You were a child of the steppe, born to a tribe of wandering nomads who lived in great camps throughout the arid grasslands. Like the other tribesmen, your family revered horses above almost everything else, and they taught you how to ride almost before you learned how to walk. 
qstr_As_the_{reg3?daughte|As the {reg3?daughter:son} of a thief, you had very little 'formal' education. Instead you were out on the street, begging until you learned how to cut purses, cutting purses until you learned how to pick locks, all the way through your childhood. Still, these long years made you streetwise and sharp to the secrets of cities and shadowy backways.
qstr_As_a_{reg3?girl:boy}|As a {reg3?girl:boy} growing out of childhood, you were sent to live in the court of one of the nobles of the land. There, your first lessons were in humility, as you waited upon the lords and ladies of the household. But from their chess games, their gossip, even the poetry of great deeds and courtly love, you quickly began to learn about the adult world of conflict and competition. You also learned from the rough games of the other children, who battered at each other with sticks in imitation of their elders' swords.
qstr_As_a_{reg3?girl:boy}_|As a {reg3?girl:boy} growing out of childhood, you apprenticed with a local craftsman to learn a trade. After years of hard work and study under your new master, he promoted you to journeyman and employed you as a fully paid craftsman for as long as you wished to stay.
qstr_As_a_{reg3?girl:boy}_g|As a {reg3?girl:boy} growing out of childhood, you apprenticed to a wealthy merchant, picking up the trade over years of working shops and driving caravans. You soon became adept at the art of buying low, selling high, and leaving the customer thinking they'd got the better deal.
qstr_As_a_{reg3?girl:boy}_gr|As a {reg3?girl:boy} growing out of childhood, you took to the streets, doing whatever you must to survive. Begging, thieving and working for gangs to earn your bread, you lived from day to day in this violent world, always one step ahead of the law and those who wished you ill.
qstr_As_a_{reg3?girl:boy}_gro|As a {reg3?girl:boy} growing out of childhood, you rode the great steppes on a horse of your own, learning the ways of the grass and the desert. Although you sometimes went hungry, you became a skillful hunter and pathfinder in this trackless country. Your body too started to harden with muscle as you grew into the life of a nomad {reg3?woman:man}.
qstr_{reg3?daughter:man}|{reg3?daughter:man}
qstr_Though_the_distincti|Though the distinction felt sudden to you, somewhere along the way you had become a {reg3?woman:man}, and the whole world seemed to change around you. When you were named squire to a noble at court, you practiced long hours with weapons, learning how to deal out hard knocks and how to take them, too. You were instructed in your obligations to your lord, and of your duties to those who might one day be your vassals. But in addition to learning the chivalric ideal, you also learned about the less uplifting side -- old warriors' stories of ruthless power politics, of betrayals and usurpations, of men who used guile as well as valor to achieve their aims.
qstr_{reg3?woman:man}|{reg3?woman:man}
qstr_Though_the_distinctio|Though the distinction felt sudden to you, somewhere along the way you had become a {s13}, and the whole world seemed to change around you. You joined the tightly-knit circle of women at court, ladies who all did proper ladylike things, the wives and mistresses of noble men as well as maidens who had yet to find a husband. However, even here you found politics at work as the ladies schemed for prominence and fought each other bitterly to catch the eye of whatever unmarried man was in fashion at court. You soon learned ways of turning these situations and goings-on to your advantage. With it came the realisation that you yourself could wield great influence in the world, if only you applied yourself with a little bit of subtlety.
qstr_Though_the_distinction|Though the distinction felt sudden to you, somewhere along the way you had become a {s13}, and the whole world seemed to change around you. You set out on your own with nothing except the instrument slung over your back and your own voice. It was a poor existence, with many a hungry night when people failed to appreciate your play, but you managed to survive on your music alone. As the years went by you became adept at playing the drunken crowds in your taverns, and even better at talking anyone out of anything you wanted.
qstr_Though_the_distinction_|Though the distinction felt sudden to you, somewhere along the way you had become a {reg3?woman:man}, and the whole world seemed to change around you. You found yourself as a student in the university of one of the great cities, where you studied theology, philosophy, and medicine. But not all your lessons were learned in the lecture halls. You may or may not have joined in with your fellows as they roamed the alleys in search of wine, women, and a good fight. However, you certainly were able to observe how a broken jaw is set, or how an angry townsman can be persuaded to set down his club and accept cash compensation for the destruction of his shop.
qstr_Though_the_distinction_f|Though the distinction felt sudden to you, somewhere along the way you had become a {s13}, and the whole world seemed to change around you. Heeding the call of the open road, you travelled from village to village buying and selling what you could. It was not a rich existence, but you became a master at haggling even the most miserly elders into giving you a good price. Soon, you knew, you would be well-placed to start your own trading empire...
qstr_Though_the_distinction_fe|Though the distinction felt sudden to you, somewhere along the way you had become a {s13}, and the whole world seemed to change around you. You pursued a career as a smith, crafting items of function and beauty out of simple metal. As time wore on you became a master of your trade, and fine work started to fetch fine prices. With food in your belly and logs on your fire, you could take pride in your work and your growing reputation.
qstr_Though_the_distinction_fel|Though the distinction felt sudden to you, somewhere along the way you had become a {s13}, and the whole world seemed to change around you. Dissatisfied with common men's desperate scrabble for coin, you took to your local lord's own forests and decided to help yourself to its bounty, laws be damned. You hunted stags, boars and geese and sold the precious meat under the table. You cut down trees right under the watchmen's noses and turned them into firewood that warmed many freezing homes during winter. All for a few silvers, of course.
qstr_Only_you_know_exactl|Only you know exactly what caused you to give up your old life and become an adventurer. Still, it was not a difficult choice to leave, with the rage burning brightly in your heart. You want vengeance. You want justice. What was done to you cannot be undone, and these debts can only be paid in blood...
qstr_Only_you_know_exactly|Only you know exactly what caused you to give up your old life and become an adventurer. All you can say is that you couldn't bear to stay, not with the memories of those you loved so close and so painful. Perhaps your new life will let you forget, or honour the name that you can no longer bear to speak...
qstr_Only_you_know_exactly_|Only you know exactly what caused you to give up your old life and become an adventurer. You're not even sure when your home became a prison, when the familiar became mundane, but your dreams of wandering have taken over your life. Whether you yearn for some faraway place or merely for the open road and the freedom to travel, you could no longer bear to stay in the same place. You simply went and never looked back...
qstr_Only_you_know_exactly_w|Only you know exactly what caused you to give up your old life and become an adventurer. However, you know you cannot go back. There's nothing to go back to. Whatever home you may have had is gone now, and you must face the fact that you're out in the wide wide world. Alone to sink or swim...
qstr_Only_you_know_exactly_wh|Only you know exactly what caused you to give up your old life and become an adventurer. To everyone else, it's clear that you're now motivated solely by personal gain. You want to be rich, powerful, respected, feared. You want to be the one whom others hurry to obey. You want people to know your name, and tremble whenever it is spoken. You want everything, and you won't let anyone stop you from having it...
qstr_Back_to_the_beginnin|Back to the beginning...
qstr_View_next_segment...|View next segment...
qstr_^No_food:___{reg7}|^No food:  -{reg7}
