trp_multiplayer_profile_troop_male|联 机 男 性 玩 家 角 色 
trp_merc_sicily_infantry_2_pl|西 西 里 雇 佣 战 士 
trp_merc_maghreb_cavalry_1|马 格 利 布 雇 佣 骑 兵 
trp_merc_maghreb_cavalry_1_pl|马 格 利 布 雇 佣 骑 兵 
trp_merc_maghreb_infantry_1|马 格 利 布 雇 佣 步 兵 
trp_merc_maghreb_infantry_1_pl|马 格 利 布 雇 佣 步 兵 
trp_merc_brabantine_xbow|布 拉 班 特 雇 佣 弩 兵 
trp_merc_brabantine_xbow_pl|布 拉 班 特 雇 佣 弩 兵 
trp_merc_brabantine_spearman|布 拉 班 特 雇 佣 长 矛 兵 
trp_merc_brabantine_spearman_pl|布 拉 班 特 雇 佣 长 矛 兵 
trp_merc_brabantine_guisarm|布 拉 班 特 雇 佣 长 戟 兵 
trp_merc_brabantine_guisarm_pl|布 拉 班 特 雇 佣 长 戟 兵 
trp_merc_welsh_bowman|威 尔 士 雇 佣 长 弓 兵 
trp_merc_welsh_bowman_pl|威 尔 士 雇 佣 长 弓 兵 
trp_merc_kern_infantry|盖 尔 雇 佣 轻 步 兵 
trp_merc_kern_infantry_pl|盖 尔 雇 佣 轻 步 兵 
trp_merc_almogabar|雇 佣 掷 矛 手 
trp_merc_almogabar_pl|雇 佣 掷 矛 手 
trp_cuman_tribesman|库 曼 族 人 
trp_cuman_tribesman_pl|库 曼 族 人 
trp_cuman_skirmisher|库 曼 斥 候 骑 兵 
trp_cuman_skirmisher_pl|库 曼 斥 候 骑 兵 
trp_cuman_horseman|库 曼 骑 手 
trp_cuman_horseman_pl|库 曼 骑 手 
trp_cuman_horse_archer|库 曼 弓 骑 兵 
trp_cuman_horse_archer_pl|库 曼 弓 骑 兵 
trp_cuman_veteran_horse_archer|库 曼 资 深 弓 骑 兵 
trp_cuman_veteran_horse_archer_pl|库 曼 资 深 弓 骑 兵 
trp_cuman_lancer|库 曼 枪 骑 兵 
trp_cuman_lancer_pl|库 曼 枪 骑 兵 
trp_cuman_heavy_lancer|库 曼 重 甲 枪 骑 兵 
trp_cuman_heavy_lancer_pl|库 曼 重 甲 枪 骑 兵 
trp_gaelic_merc_spearman|盖 尔 雇 佣 长 矛 手 
trp_gaelic_merc_spearman_pl|盖 尔 雇 佣 长 矛 手 
trp_gaelic_merc_swordsman_1|盖 尔 雇 佣 剑 士 
trp_gaelic_merc_swordsman_1_pl|盖 尔 雇 佣 剑 士 
trp_gaelic_merc_axeman_1|盖 尔 雇 佣 长 斧 手 
trp_gaelic_merc_axeman_1_pl|盖 尔 雇 佣 长 斧 手 
trp_gaelic_merc_swordsman_2|盖 尔 雇 佣 剑 客 
trp_gaelic_merc_swordsman_2_pl|盖 尔 雇 佣 剑 客 
trp_gaelic_merc_axeman_2|盖 尔 雇 佣 长 斧 勇 士 
trp_gaelic_merc_axeman_2_pl|盖 尔 雇 佣 长 斧 勇 士 
trp_crusader_turkopole|雇 佣 土 耳 其 骑 射 手 
trp_crusader_turkopole_pl|雇 佣 土 耳 其 骑 射 手 
trp_templar_crossbows_sergeant|圣 殿 骑 士 团 重 弩 兵 
trp_templar_crossbows_sergeant_pl|圣 殿 骑 士 团 重 弩 兵 
trp_templar_swords_sergeant|圣 殿 精 锐 重 步 兵 
trp_templar_swords_sergeant_pl|圣 殿 精 锐 重 步 兵 
trp_templar_spears_sergeant|圣 殿 长 矛 卫 士 
trp_templar_spears_sergeant_pl|圣 殿 长 矛 卫 士 
trp_templar_half_brother|圣 殿 骑 士 侍 从 
trp_templar_half_brother_pl|圣 殿 骑 士 侍 从 
trp_templar_knight|圣 殿 骑 士 
trp_templar_knight_pl|圣 殿 骑 士 
trp_hospitaller_swords_sergeant|医 院 精 锐 重 步 兵 
trp_hospitaller_swords_sergeant_pl|医 院 精 锐 重 步 兵 
trp_hospitaller_spears_sergeant|医 院 长 矛 卫 士 
trp_hospitaller_spears_sergeant_pl|医 院 长 矛 卫 士 
trp_hospitaller_crossbows_sergeant|医 院 骑 士 团 重 弩 兵 
trp_hospitaller_crossbows_sergeant_pl|医 院 骑 士 团 重 弩 兵 
trp_hospitaller_half_brother|医 院 骑 士 侍 从 
trp_hospitaller_half_brother_pl|医 院 骑 士 侍 从 
trp_hospitaller_knight|医 院 骑 士 
trp_hospitaller_knight_pl|医 院 骑 士 
trp_mercenaries_end|mercenaries end
trp_mercenaries_end_pl|mercenaries end
trp_teu_village_recruit|条 顿 征 召 民 兵 
trp_teu_village_recruit_pl|条 顿 征 召 民 兵 
trp_teu_balt_1|条 顿 波 罗 的 海 掷 矛 民 兵 
trp_teu_balt_1_pl|条 顿 波 罗 的 海 掷 矛 民 兵
trp_teu_balt_2|条 顿 波 罗 的 海 标 枪 射 手 
trp_teu_balt_2_pl|条 顿 波 罗 的 海 标 枪 射 手
trp_teu_balt_3|条 顿 波 罗 的 海 标 枪 骑 射 手
trp_teu_balt_3_pl|条 顿 波 罗 的 海 标 枪 骑 射 手
trp_teu_ger_1|条 顿 轻 步 兵 
trp_teu_ger_1_pl|条 顿 轻 步 兵 
trp_teu_ger_2_1|条 顿 戟 兵 
trp_teu_ger_2_1_pl|条 顿 戟 兵 
trp_teu_ger_2_2|条 顿 步 兵 
trp_teu_ger_2_2_pl|条 顿 步 兵 
trp_teu_ger_3_2|条 顿 卫 士 
trp_teu_ger_3_2_pl|条 顿 卫 士 
trp_teu_town_1|条 顿 宗 教 狂 热 者 
trp_teu_town_1_pl|条 顿 宗 教 狂 热 者
trp_teu_town_2_1|条 顿 精 锐 民 兵 
trp_teu_town_2_1_pl|条 顿 精 锐 民 兵 
trp_teu_town_3_1|条 顿 长 矛 军 士 
trp_teu_town_3_1_pl|条 顿 长 矛 军 士 
trp_teu_town_4_1|条 顿 宗 教 长 矛 卫 士 
trp_teu_town_4_1_pl|条 顿 宗 教 长 矛 卫 士 
trp_teu_town_2_2|条 顿 持 弩 民 兵 
trp_teu_town_2_2_pl|条 顿 持 弩 民 兵 
trp_teu_town_3_2|条 顿 骑 士 团 弩 兵 
trp_teu_town_3_2_pl|条 顿 骑 士 团 弩 兵 
trp_teu_town_4_2|条 顿 持 盾 重 弩 兵 
trp_teu_town_4_2_pl|条 顿 持 盾 重 弩 兵 
trp_teu_horse_1|条 顿 轻 装 枪 骑 兵 
trp_teu_horse_1_pl|条 顿 轻 装 枪 骑 兵 
trp_teu_horse_2|条 顿 骑 马 军 士 
trp_teu_horse_2_pl|条 顿 骑 马 军 士 
trp_teu_horse_3|条 顿 骑 士 侍 从 
trp_teu_horse_3_pl|条 顿 骑 士 侍 从 
trp_teu_horse_4|条 顿 骑 士 
trp_teu_horse_4_pl|条 顿 骑 士 
trp_teutonic_messenger|条 顿 信 使 
trp_teutonic_messenger_pl|条 顿 信 使 
trp_teutonic_deserter|条 顿 逃 兵 
trp_teutonic_deserter_pl|条 顿 逃 兵 
trp_teutonic_prison_guard|监 狱 看 守 
trp_teutonic_prison_guard_pl|监 狱 看 守 
trp_teutonic_castle_guard|城 堡 守 卫 
trp_teutonic_castle_guard_pl|城 堡 守 卫 
trp_tatar_tribesman|蒙 古 族 人 
trp_tatar_tribesman_pl|蒙 古 族 人 
trp_tatar_skirmisher|蒙 古 斥 候 骑 兵 
trp_tatar_skirmisher_pl|蒙 古 斥 候 骑 兵 
trp_tatar_horseman|蒙 古 骑 手 
trp_tatar_horseman_pl|蒙 古 骑 手 
trp_tatar_horse_archer|蒙 古 骑 射 手 
trp_tatar_horse_archer_pl|蒙 古 骑 射 手 
trp_tatar_veteran_horse_archer|蒙 古 重 甲 骑 射 手 
trp_tatar_veteran_horse_archer_pl|蒙 古 重 甲 骑 射 手 
trp_tatar_lancer|蒙 古 枪 骑 兵 
trp_tatar_lancer_pl|蒙 古 枪 骑 兵 
trp_tatar_heavy_lancer|蒙 古 重 装 枪 骑 兵 
trp_tatar_heavy_lancer_pl|蒙 古 重 装 枪 骑 兵 
trp_tatar_messenger|蒙 古 信 使 
trp_tatar_messenger_pl|蒙 古 信 使 
trp_tatar_deserter|蒙 古 逃 兵 
trp_tatar_deserter_pl|蒙 古 逃 兵 
trp_tatar_prison_guard|监 狱 看 守 
trp_tatar_prison_guard_pl|监 狱 看 守 
trp_tatar_castle_guard|城 堡 守 卫 
trp_tatar_castle_guard_pl|城 堡 守 卫 
trp_polish_messenger|波 兰 信 使 
trp_polish_messenger_pl|波 兰 信 使 
trp_polish_deserter|波 兰 逃 兵 
trp_polish_deserter_pl|波 兰 逃 兵 
trp_polish_prison_guard|监 狱 看 守 
trp_polish_prison_guard_pl|监 狱 看 守 
trp_polish_castle_guard|城 堡 守 卫 
trp_polish_castle_guard_pl|城 堡 守 卫 
trp_lithuanian_messenger|立 陶 宛 信 使 
trp_lithuanian_messenger_pl|立 陶 宛 信 使 
trp_lithuanian_deserter|立 陶 宛 逃 兵 
trp_lithuanian_deserter_pl|立 陶 宛 逃 兵 
trp_lithuanian_prison_guard|监 狱 看 守 
trp_lithuanian_prison_guard_pl|监 狱 看 守 
trp_lithuanian_castle_guard|城 堡 守 卫 
trp_lithuanian_castle_guard_pl|城 堡 守 卫 
trp_hre_messenger|神 圣 罗 马 帝 国 信 使 
trp_hre_messenger_pl|神 圣 罗 马 帝 国 信 使 
trp_hre_deserter|神 圣 罗 马 帝 国 逃 兵 
trp_hre_deserter_pl|神 圣 罗 马 帝 国 逃 兵 
trp_hre_prison_guard|监 狱 看 守 
trp_hre_prison_guard_pl|监 狱 看 守 
trp_hre_castle_guard|城 堡 守 卫 
trp_hre_castle_guard_pl|城 堡 守 卫 
trp_hungarian_messenger|匈 牙 利 信 使 
trp_hungarian_messenger_pl|匈 牙 利 信 使 
trp_hungarian_deserter|匈 牙 利 逃 兵 
trp_hungarian_deserter_pl|匈 牙 利 逃 兵 
trp_hungarian_prison_guard|监 狱 看 守 
trp_hungarian_prison_guard_pl|监 狱 看 守 
trp_hungarian_castle_guard|城 堡 守 卫 
trp_hungarian_castle_guard_pl|城 堡 守 卫 
trp_russian_messenger|诺 夫 哥 罗 德 共 和 国 信 使 
trp_russian_messenger_pl|诺 夫 哥 罗 德 共 和 国 信 使 
trp_russian_deserter|诺 夫 哥 罗 德 共 和 国 逃 兵 
trp_russian_deserter_pl|诺 夫 哥 罗 德 共 和 国 逃 兵 
trp_russian_prison_guard|监 狱 看 守 
trp_russian_prison_guard_pl|监 狱 看 守 
trp_russian_castle_guard|城 堡 守 卫 
trp_russian_castle_guard_pl|城 堡 守 卫 
trp_danish_messenger|丹 麦 信 使 
trp_danish_messenger_pl|丹 麦 信 使 
trp_danish_deserter|丹 麦 逃 兵 
trp_danish_deserter_pl|丹 麦 逃 兵 
trp_danish_prison_guard|监 狱 守 卫 
trp_danish_prison_guard_pl|监 狱 守 卫 
trp_danish_castle_guard|城 堡 守 卫 
trp_danish_castle_guard_pl|城 堡 守 卫 
trp_english_messenger|英 格 兰 信 使 
trp_english_messenger_pl|英 格 兰 信 使 
trp_english_deserter|英 格 兰 逃 兵 
trp_english_deserter_pl|英 格 兰 逃 兵 
trp_english_prison_guard|监 狱 看 守 
trp_english_prison_guard_pl|监 狱 看 守 
trp_english_castle_guard|城 堡 守 卫 
trp_english_castle_guard_pl|城 堡 守 卫 
trp_french_messenger|法 兰 西 信 使 
trp_french_messenger_pl|法 兰 西 信 使 
trp_french_deserter|法 兰 西 逃 兵 
trp_french_deserter_pl|法 兰 西 逃 兵 
trp_french_prison_guard|监 狱 看 守 
trp_french_prison_guard_pl|监 狱 看 守 
trp_french_castle_guard|城 堡 守 卫 
trp_french_castle_guard_pl|城 堡 守 卫 
trp_swedish_messenger|瑞 典 信 使 
trp_swedish_messenger_pl|瑞 典 信 使 
trp_swedish_deserter|瑞 典 逃 兵 
trp_swedish_deserter_pl|瑞 典 逃 兵 
trp_swedish_prison_guard|监 狱 守 卫 
trp_swedish_prison_guard_pl|监 狱 守 卫 
trp_swedish_castle_guard|城 堡 守 卫 
trp_swedish_castle_guard_pl|城 堡 守 卫 
trp_norwegian_messenger|挪 威 信 使 
trp_norwegian_messenger_pl|挪 威 信 使 
trp_norwegian_deserter|挪 威 逃 兵 
trp_norwegian_deserter_pl|挪 威 逃 兵 
trp_norwegian_prison_guard|监 狱 守 卫 
trp_norwegian_prison_guard_pl|监 狱 守 卫 
trp_norwegian_castle_guard|城 堡 守 卫 
trp_norwegian_castle_guard_pl|城 堡 守 卫 
trp_scottish_messenger|苏 格 兰 信 使 
trp_scottish_messenger_pl|苏 格 兰 信 使 
trp_scottish_deserter|苏 格 兰 逃 兵 
trp_scottish_deserter_pl|苏 格 兰 逃 兵 
trp_scottish_prison_guard|监 狱 看 守 
trp_scottish_prison_guard_pl|监 狱 看 守 
trp_scottish_castle_guard|城 堡 守 卫 
trp_scottish_castle_guard_pl|城 堡 守 卫 
trp_irish_messenger|爱 尔 兰 信 使 
trp_irish_messenger_pl|爱 尔 兰 信 使 
trp_irish_deserter|爱 尔 兰 逃 兵 
trp_irish_deserter_pl|爱 尔 兰 逃 兵 
trp_irish_prison_guard|监 狱 看 守 
trp_irish_prison_guard_pl|监 狱 看 守 
trp_irish_castle_guard|城 堡 守 卫 
trp_irish_castle_guard_pl|城 堡 守 卫 
trp_balkan_vil_1|巴 尔 干 征 召 民 兵 
trp_balkan_vil_1_pl|巴 尔 干 征 召 民 兵
trp_balkan_vil_2_1|巴 尔 干 征 召 平 民 弓 箭 手 
trp_balkan_vil_2_1_pl|巴 尔 干 征 召 平 民 弓 箭 手
trp_balkan_vil_3_1|巴 尔 干 征 召 弓 箭 手
trp_balkan_vil_3_1_pl|巴 尔 干 征 召 弓 箭 手 
trp_balkan_vil_4_1|巴 尔 干 征 召 熟 练 弓 箭 手 
trp_balkan_vil_4_1_pl|巴 尔 干 征 召 熟 练 弓 箭 手 
trp_balkan_vil_2_2|巴 尔 干 征 召 步 兵 
trp_balkan_vil_2_2_pl|巴 尔 干 征 召 步 兵 
trp_balkan_vil_3_2_1|巴 尔 干 戟 兵 
trp_balkan_vil_3_2_1_pl|巴 尔 干 戟 兵
trp_balkan_vil_3_2_2|巴 尔 干 步 兵 
trp_balkan_vil_3_2_2_pl|巴 尔 干 步 兵 
trp_balkan_vil_4_2_2|巴 尔 干 重 步 兵 
trp_balkan_vil_4_2_2_pl|巴 尔 干 重 步 兵 
trp_balkan_vil_3_1_1|巴 尔 干 标 枪 投 手 
trp_balkan_vil_3_1_1_pl|巴 尔 干 标 枪 投 手 
trp_balkan_vil_4_1_1|巴 尔 干 标 枪 兵 
trp_balkan_vil_4_1_1_pl|巴 尔 干 标 枪 兵 
trp_balkan_town_1|巴 尔 干 城 镇 民 兵 
trp_balkan_town_1_pl|巴 尔 干 城 镇 民 兵 
trp_balkan_town_2_1|巴 尔 干 轻 步 兵 
trp_balkan_town_2_1_pl|巴 尔 干 轻 步 兵 
trp_balkan_town_3_1|巴 尔 干 长 矛 手 
trp_balkan_town_3_1_pl|巴 尔 干 长 矛 手 
trp_balkan_town_4_1|巴 尔 干 重 装 长 矛 手 
trp_balkan_town_4_1_pl|巴 尔 干 重 装 长 矛 手 
trp_balkan_town_2_2|巴 尔 干 弓 箭 民 兵 
trp_balkan_town_2_2_pl|巴 尔 干 弓 箭 民 兵 
trp_balkan_town_3_2|巴 尔 干 弓 箭 手 
trp_balkan_town_3_2_pl|巴 尔 干 弓 箭 手 
trp_balkan_town_4_2|巴 尔 干 城 镇 精 锐 弓 箭 手 
trp_balkan_town_4_2_pl|巴 尔 干 城 镇 精 锐 弓 箭 手 
trp_balkan_horse_1|巴 尔 干 轻 装 枪 骑 兵 
trp_balkan_horse_1_pl|巴 尔 干 轻 装 枪 骑 兵 
trp_balkan_horse_2|巴 尔 干 枪 骑 兵 
trp_balkan_horse_2_pl|巴 尔 干 枪 骑 兵
trp_balkan_horse_3|巴 尔 干 贵 族 骑 兵 
trp_balkan_horse_3_pl|巴 尔 干 贵 族 骑 兵 
trp_balkan_horse_4|巴 尔 干 重 装 贵 族 骑 兵 
trp_balkan_horse_4_pl|巴 尔 干 重 装 贵 族 骑 兵 
trp_rus_vil_1|罗 斯 征 召 农 奴 
trp_rus_vil_1_pl|罗 斯 征 召 农 奴 
trp_rus_vil_2_1|罗 斯 民 兵 
trp_rus_vil_2_1_pl|罗 斯 民 兵 
trp_rus_vil_3_1|罗 斯 青 年 战 士 
trp_rus_vil_3_1_pl|罗 斯 青 年 战 士 
trp_rus_vil_4_1|罗 斯 长 斧 战 士 
trp_rus_vil_4_1_pl|罗 斯 长 斧 战 士 
trp_rus_vil_2_2|罗 斯 猎 人 
trp_rus_vil_2_2_pl|罗 斯 猎 人 
trp_rus_vil_3_2|罗 斯 青 年 射 手 
trp_rus_vil_3_2_pl|罗 斯 青 年 射 手 
trp_rus_vil_4_2|罗 斯 精 锐 射 手 
trp_rus_vil_4_2_pl|罗 斯 精 锐 射 手 
trp_rus_town_1|罗 斯 城 镇 民 兵 
trp_rus_town_1_pl|罗 斯 城 镇 民 兵 
trp_rus_town_2|罗 斯 轻 步 兵 
trp_rus_town_2_pl|罗 斯 轻 步 兵 
trp_rus_town_3_1|罗 斯 青 年 步 兵 
trp_rus_town_3_1_pl|罗 斯 青 年 步 兵 
trp_rus_town_4_1|罗 斯 重 步 兵 
trp_rus_town_4_1_pl|罗 斯 重 步 兵 
trp_rus_town_3_2|罗 斯 长 矛 兵 
trp_rus_town_3_2_pl|罗 斯 长 矛 兵 
trp_rus_town_4_2|罗 斯 重 装 长 矛 兵 
trp_rus_town_4_2_pl|罗 斯 重 装 长 矛 兵 
trp_rus_horse_1|罗 斯 骑 射 手 
trp_rus_horse_1_pl|罗 斯 骑 射 手 
trp_rus_horse_2|罗 斯 贵 族 枪 骑 兵 
trp_rus_horse_2_pl|罗 斯 贵 族 枪 骑 兵 
trp_rus_horse_3|罗 斯 亲 卫 骑 兵 
trp_rus_horse_3_pl|罗 斯 亲 卫 骑 兵 
trp_rus_horse_4|罗 斯 波 耶 重 骑 兵 
trp_rus_horse_4_pl|罗 斯 波 耶 重 骑 兵 
trp_nordic_village_recruit|北 欧 民 兵 
trp_nordic_village_recruit_pl|北 欧 民 兵 
trp_nordic_town_recruit|北 欧 城 镇 民 兵 
trp_nordic_town_recruit_pl|北 欧 城 镇 民 兵 
trp_nordic_town_footman|北 欧 步 兵 
trp_nordic_town_footman_pl|北 欧 步 兵 
trp_nordic_swordsman|北 欧 勇 士 
trp_nordic_swordsman_pl|北 欧 勇 士 
trp_nordic_veteran_swordsman|北 欧 战 士 
trp_nordic_veteran_swordsman_pl|北 欧 战 士 
trp_nordic_swords_sergeant|北 欧 重 甲 战 士 
trp_nordic_swords_sergeant_pl|北 欧 重 甲 战 士 
trp_nordic_billman|北 欧 长 斧 勇 士 
trp_nordic_billman_pl|北 欧 长 斧 勇 士 
trp_nordic_veteran_billman|北 欧 长 斧 战 士 
trp_nordic_veteran_billman_pl|北 欧 长 斧 战 士 
trp_nordic_bills_sergeant|北 欧 长 斧 狂 战 士 
trp_nordic_bills_sergeant_pl|北 欧 长 斧 狂 战 士 
trp_nordic_spearman|北 欧 长 矛 勇 士 
trp_nordic_spearman_pl|北 欧 长 矛 勇 士 
trp_nordic_veteran_spearman|北 欧 长 矛 战 士 
trp_nordic_veteran_spearman_pl|北 欧 长 矛 战 士 
trp_nordic_spears_sergeant|北 欧 重 甲 长 矛 战 士 
trp_nordic_spears_sergeant_pl|北 欧 重 甲 长 矛 战 士 
trp_nordic_crossbowman|北 欧 持 弩 民 兵 
trp_nordic_crossbowman_pl|北 欧 持 弩 民 兵 
trp_nordic_veteran_crossbowman|北 欧 轻 弩 兵 
trp_nordic_veteran_crossbowman_pl|北 欧 轻 弩 兵 
trp_nordic_crossbows_sergeant|北 欧 持 盾 重 装 弩 兵 
trp_nordic_crossbows_sergeant_pl|北 欧 持 盾 重 装 弩 兵 
trp_nordic_veteran_archer|北 欧 弓 箭 手 
trp_nordic_veteran_archer_pl|北 欧 弓 箭 手 
trp_nordic_bows_sergeant|北 欧 长 弓 兵 
trp_nordic_bows_sergeant_pl|北 欧 长 弓 兵 
trp_nordic_light_cavalry|北 欧 轻 装 枪 骑 兵 
trp_nordic_light_cavalry_pl|北 欧 轻 装 枪 骑 兵 
trp_nordic_medium_cavalry|北 欧 枪 骑 兵 
trp_nordic_medium_cavalry_pl|北 欧 枪 骑 兵 
trp_nordic_squire|北 欧 骑 士 侍 从 
trp_nordic_squire_pl|北 欧 骑 士 侍 从 
trp_nordic_knight|北 欧 封 建 骑 士 
trp_nordic_knight_pl|北 欧 封 建 骑 士 
trp_balt_recruit|波 罗 的 海 新 兵 
trp_balt_recruit_pl|波 罗 的 海 新 兵 
trp_balt_footman|波 罗 的 海 轻 步 兵 
trp_balt_footman_pl|波 罗 的 海 轻 步 兵 
trp_balt_skirmisher|波 罗 的 海 掷 矛 民 兵 
trp_balt_skirmisher_pl|波 罗 的 海 掷 矛 民 兵 
trp_balt_billman|波 罗 的 海 斧 手 
trp_balt_billman_pl|波 罗 的 海 斧 手 
trp_balt_veteran_billman|波 罗 的 海 重 装 斧 手 
trp_balt_veteran_billman_pl|波 罗 的 海 重 装 斧 手 
trp_balt_bills_sergeant|波 罗 的 海 亲 卫 斧 兵 
trp_balt_bills_sergeant_pl|波 罗 的 海 亲 卫 斧 兵 
trp_balt_spearman|波 罗 的 海 长 矛 手 
trp_balt_spearman_pl|波 罗 的 海 长 矛 手
trp_balt_veteran_spearman|波 罗 的 海 重 装 长 矛 手 
trp_balt_veteran_spearman_pl|波 罗 的 海 重 装 长 矛 手 
trp_balt_spears_sergeant|波 罗 的 海 贵 族 长 矛 手 
trp_balt_spears_sergeant_pl|波 罗 的 海 贵 族 长 矛 手 
trp_balt_archer|波 罗 的 海 弓 箭 手 
trp_balt_archer_pl|波 罗 的 海 弓 箭 手 
trp_balt_veteran_archer|波 罗 的 海 熟 练 弓 箭 手 
trp_balt_veteran_archer_pl|波 罗 的 海 熟 练 弓 箭 手 
trp_balt_bows_sergeant|波 罗 的 海 重 装 弓 箭 手 
trp_balt_bows_sergeant_pl|波 罗 的 海 重 装 弓 箭 手 
