qstr_{reg61}.0{reg62}|{reg61}.0{reg62}
qstr_Enemy_Lords:_{reg0}|敵 軍 領 主 ： {reg0}
qstr_Victories:_{reg0}|勝 利 ： {reg0}
qstr_Defeats:_{reg0}|失 敗 ： {reg0}
qstr_Quests_Completed:_{r|任 務 完 成 ： {reg0}
qstr_Companions_Found:_{r|同 伴 加 入 人 數 ： {reg0}
qstr_Companions_Lost/Depa|同 伴 失 散 人 數 ： {reg0}
qstr_Wealth:_{reg0}_denar|財 富 ： {reg0}第 納 爾 
qstr_Inventory:_{reg0}_de|物 品 欄 中 的 財 富 ： {reg0}第 納 爾 
qstr_Renown:_{reg0}|聲 望 ： {reg0}
qstr_Experience:_{reg0}|經 驗 ： {reg0}
qstr_Days_Passed:_{reg0}|天 數 ： {reg0}
qstr_Difficulty:_{reg0}%|難 度 ： {reg0}% 
qstr_TOTAL_SCORE:_{reg0}|總 分 數 ： {reg0}
qstr_{s0}__{s50}_|{s0} ({s50})
qstr_None|無 
qstr_{s25}__{reg25}_day_s|{s25} （剩 余 {reg25}天）： 
qstr_{s55}___{reg0}%_|{s55} （-{reg0}%） 
qstr_{s55}|{s55}
qstr_Staff:|職 員： {***}
qstr_You_paid_{reg0}_cash|你 付 了 {reg0}現 金 清 算 了 你 的 債 務 
qstr_Next_Payday|下 一 個 付 工 資 日 
qstr_Earlier_cash:|現 有 資 金： 
qstr_New_cash:|新 收 入： 
qstr___DEBUG___g_latest_o|--DEBUG-- g latest order 1 is 3
qstr___DEBUG___g_latest_or|--DEBUG-- g latest order 1 is 2
qstr___DEBUG___g_latest_ord|--DEBUG-- g latest order 1 is 1
qstr_Us:_{reg12}_Allies:_|我 軍： {reg12} 友 軍： {reg13} 敵 軍： {reg14}
qstr_Us:_n/a_Allies:_n/a_|我 軍： n/a 友 軍： n/a 敵 軍： n/a
qstr_BATTLE_WON!|戰 斗 勝 利！ 
qstr_BATTLE_LOST!|您 戰 敗 了！ 
qstr_Next|下 一 頁 
qstr_Previous|上 一 頁 
qstr_Accept|確 定 
qstr_Done|完 成 
qstr_Name:_{s1}^Level:_{r|姓 名： {s1}^等 級： {reg1}
qstr_{s1}^HP:_{reg1}/{reg|{s1}^HP: {reg1}/{reg2}{***}
qstr_{s1}|{s1}
qstr_Weapon_upgrade_setti|武 器 升 級 設 置:
qstr_Plan_<1>_|方 案 <1>
qstr_Apply_to_everyone|應 用 到 所 有 人： 
qstr_Plan_<2>_|方 案 <2>
qstr_Use_plan_<1>_|選 用 方 案 <1>
qstr_Use_plan_<2>_|選 用 方 案 <2>
qstr_Upgrade_armor_|升 級 防 具 
qstr_Upgrade_horse_|升 級 馬 匹 
qstr_Price_threshold_of_i|撿 取 物 品 的 最 低 閾 值 
qstr_Sell_items_automatic|離 開 時 自 動 出 售 物 品： 
qstr_Price_limit_for_auto|自 動 出 售 物 品 的 最 高 閾 值：
qstr_Item_types_for_auto_|自 動 出 售 物 品 的 類 型 ：
qstr_Select_all|全 選 
qstr_Select_invert|反 選 
qstr_Faction_color_of_{s0|{s0}陣 營 的 顏 色： 
qstr_Red:|紅 色： 
qstr_Green:|綠 色： 
qstr_Blue:|藍 色：
qstr__| 
qstr_HTML_code:_{s0}|HTML顏 色 代 碼： 
qstr_Default|默 認 
qstr_Randomize|隨 機 
qstr_{s1}^HP:_{reg0}|{s1}^體 力： {reg0}
qstr_Attributes:|屬 性： 
qstr_{s3}^STR:_{reg1}^INT|{s3}^力 量： {reg1}^智 力： {reg2}^^技 能： 
qstr_{s3}^Power_Strike:_{|{s3}^強 擊： {reg1}^強 弓： {reg2}^強 擲： {reg3}^騎 射： {reg4}^^武器掌握：
qstr_{s3}^1_Hand_Wpns:_{r|{s3}^單 手 武 器： {reg1}^雙 手 武 器： {reg2}^長 桿： {reg3}
qstr_{s3}|{s3}
qstr_{s4}^AGI:_{reg1}^CHA|{s4}^敏 捷： {reg1}^魅 力： {reg2}^^
qstr_{s4}^Ironflesh:_{reg|{s4}^鐵 骨： {reg1}^跑 動： {reg2}^盾 防： {reg3}^騎 術： {reg4}^^
qstr_{s4}^Archery:_{reg1}|{s4}^弓： {reg1}^弩： {reg2}^投 擲： {reg3}
qstr_{s4}|{s4}
qstr_Equipments:_|裝 備： 
qstr_Travel_speed__recomm|大 地 圖 移 動 速 度（推 薦 75%） ： 
qstr_Use_shield_bash__pla|打 開 盾 擊（玩 家）： 
qstr_Use_shield_bash__AI_|打 開 盾 擊（AI）： 
qstr_Spear_bracing:|允 許 架 矛： 
qstr_Force_ranged_troops_|強 制 遠 程 部 隊 使 用 其 遠 程 武 器： 
qstr_Disable_NPCs__compla|禁 止 NPC之 間 相 互 抱 怨： 
qstr_Show_battle_mini_map|顯 示 戰 場 小 地 圖： 
qstr_Reinforcement_waves:|增 援 波 次： 
qstr_Probability_of_rain/|下 雨 /下 雪 的 概 率： 
qstr_Cloud_amount:|雲 量： 
qstr_Fog_strength:|大 霧 濃 度： 
qstr_ERROR____wrong_numbe|ERROR -- wrong number of villages, need {reg26} have {reg27}
qstr_ERROR____Castles:_{r|ERROR -- Castles: {reg28} seneschals: {reg26}
qstr_ERROR____Villages:_{|ERROR -- Villages: {reg27} elders: {reg26}
qstr_ERROR____Towns:_{reg|ERROR -- Towns: {reg25} seneschals: {reg26}
qstr_ERROR____Towns:_{reg2|ERROR -- Towns: {reg25} mayors: {reg26}
qstr_ERROR____Towns:_{reg25|ERROR -- Towns: {reg25} tavern keepers: {reg26}
qstr_ERROR____Towns:_{reg25}|ERROR -- Towns: {reg25} weaponsmiths: {reg26}
qstr_ERROR____Towns:_{reg25}_|ERROR -- Towns: {reg25} armorers: {reg26}
qstr_ERROR____Towns:_{reg25}_m|ERROR -- Towns: {reg25} merchants: {reg26}
qstr_ERROR____Towns:_{reg25}_h|ERROR -- Towns: {reg25} horse merchants: {reg26}
qstr_ERROR____Towns:_{reg25}_a|ERROR -- Towns: {reg25} arena masters: {reg26}
qstr_ERROR____Towns:_{reg25}_c|ERROR -- Towns: {reg25} craftsmen: {reg26}
qstr_____________________|----------------------------- 戰 斗 ----------------------------
qstr_{s26}_[o:_{reg30}_d:|{s26} [o: {reg30} d: {reg29}] vs {s25} [o: {reg28} d: {reg27}]{***}
qstr_{s26}_deals_{reg26}_|{s26} deals {reg26} to {s25} ----- {s25} deals {reg25} to {s26}{***}
qstr______________________|-----------------------------------------------------------------
qstr_Your_recruiter_who_w|你 從 {s13}派 去 招 募 {reg10}名 新 兵 的 征 兵 隊 被 擊 敗 了！ 
qstr_Your_caravan_sending|你 從 {s12}去 {s13}的 商 隊 被 擊 敗 了！ 
qstr_Your_messenger_on_th|你 派 去 {s13}的 信 使 被 擊 敗 了！ 
qstr_Your_messenger_on_the|你 派 去 {s13}的 信 使 被 {s14}擊 敗 了！ 
qstr_Roman_Empire|羅 馬 帝 國 
qstr_The_Roman_Empire_has|羅 馬 帝 國 已 經 恢 復 了！ 
qstr_Roman_Empire_of_Nica|尼 西 亞 的 羅 馬 帝 國 
qstr_The_Roman_Empire_cea|羅 馬 帝 國 不 再 存 在 了！ 
qstr_{s54}_is_a_claimant_|{s54}聲 稱 應 由 他 坐 上 {s56}的 王 座。 
qstr_nowhere|無 
qstr_{s57}_and_{s58}|{s57}和 {s58}
qstr_{reg3?She:He}|{reg3?她 :他 }
qstr_The_town_of_{s50}|{s50}鎮 
qstr_The_village_of_{s50}|{s52}附 近 的 {s50}村 
qstr_{s51}_belongs_to_{s1|{s51}歸 {s2}的 {s1}所 有。 ^ 
qstr_{s7}_and_{s8}|{s7}和 {s8}
qstr_{s2}It_has_no_villag|{s2}它 沒 有 下 屬 的 村 莊。 ^ 
qstr_{s2}{reg0?Its_villag|{s2}它 {reg0?的 下 屬 的 村 莊 是 :的 下 屬 的 村 莊 是 }{s8}。 ^ 
qstr_{s2}Its_prosperity_i|{s2}它 的 繁 榮 度 為 ： {s50}
qstr_noone|無 
qstr_{s9}_and_{s10}|{s9}和 {s10}
qstr_{s5}_has_been_defeat|{s5}被 擊 敗 了！ 
qstr___DEBUG___count_of_l|--DEBUG-- count of lords and ladies for {s25} is not equal
qstr_{s7}_opened_the_gate|{s7}打 開 大 門 
qstr_{s7}_closed_the_gate|{s7}關 閉 大 門 
qstr_This_item_is_severel|這 個 裝 備 被 嚴 重 損 壞 了！ 
qstr_+{reg1}_to_party_mor|部 隊 士 氣 增 加 {reg1}
qstr_Requires_{reg1}_inte|需 要 {reg1}點 智 慧 才 能 讀 
qstr_Reading_Progress:_{r|閱 讀 進 度 ： {reg1}% 
qstr_wound_treament|療 傷 
qstr_trainer|教 練 
qstr_surgery|手 術 
qstr_+1_to_{s1}_while_in_|置 於 物 品 欄 時 加 一 點 {s1}技 能 
qstr_Move_here|移 動 到 這 裡 
qstr_View_notes|查 看 記 錄 
qstr_Accompany|同 伴 
qstr_killed|死 亡 
qstr_wounded|受 傷 
qstr_{s0}^TOTAL:_{reg3}__|{s0}^ 總 計 ： {reg3}({s2}) 
qstr_^None|^ 無 
qstr_nothing|無 
qstr_{reg0}_village{reg1?|{reg0}村 莊 {reg1?:} 
qstr_{reg0}_castle{reg1?s|{reg0}城 堡 {reg1?:} 
qstr_{reg0}_castle{reg1?s:|{reg0}城 堡 {reg1?:} 以 及 {s0}
qstr_{reg0}_town{reg1?s:}|{reg0}城 鎮 {reg1?:} 
qstr_{reg0}_town{reg1?s:}_|{reg0}城 鎮 {reg1?:} 以 及 {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0}城 鎮 {reg1?:}， {s0}
qstr_Your_opponents_are_r|你 的 對 手 已 經 准 備 好 了。 
qstr_Try_to_destroy_as_ma|你 需 要 在 兩 分 半 鍾 的 時 間 內 盡 可 能 多 的 摧 毀 目 標。 
qstr_Stay_behind_the_line|站 在 線 後 射 擊 目 標。 盡 量 不 要 浪 費 任 何 一 發 彈 藥。 
qstr_DEBUG____{s21}_dista|DEBUG -- {s21} distance {reg21}
qstr_Battle_Advantage_=_{|戰 場 優 勢 為 {reg0}。 
qstr_{s9}_wants_you_to_re|{s9}希 望 你 能 夠 在 接 到 進 一 步 的 指 令 以 前 跟 著 他 的 部 隊 前 進。 
qstr_attrition_{s25}___{r|磨 擦 {s25} - {reg25}{***}
qstr_pt_in_{s11}|pt in {s11}
qstr__Being_Raided_|（被 掠 奪 中） 
qstr__Looted_|（已 被 洗 劫） 
qstr__Under_Siege_|（陷 入 包 圍） 
qstr_The_village_of_{s1}_|{s1}村 遭 受 了 {s2}的 掠 奪。 
qstr_{s3}_is_no_longer_un|{s3}不 再 陷 入 包 圍 了。 
qstr_Small_bands_of_enemi|{s1}附 近 發 現 小 股 敵 軍。 
qstr_Enemy_patrols_spotte|{s1}附 近 發 現 敵 軍 巡 邏。 
qstr_Medium_sized_group_o|{s1}附 近 發 現 敵 軍 中 等 規 模 部 隊。 
qstr_Significant_group_of|{s1}附 近 發 現 敵 軍 大 部 隊。 
qstr_Army_of_enemies_spot|{s1}附 近 發 現 敵 軍 集 團。 
qstr_Large_army_of_enemie|{s1}附 近 發 現 大 規 模 敵 軍 集 團。 
qstr_Great_host_of_enemie|{s1}附 近 發 現 超 大 規 模 敵 軍 集 團。 
qstr_{s1}_has_been_besieg|{s1}受 到 {s3}的 {s2}包 圍。 
qstr__{s1}__{s11}:_{s14}|（{s1}） {s11}： {s14}
qstr_{s14}__{s21}_|{s14}（{s21}） 
qstr_{s1}_is_the_new_mars|{s1}是 {s2}的 新 元 帥。 
qstr_{s22}_the_marshal_of|{s21}的 元 帥 {s22}決 定 將 部 隊 召 集 至 {s23}。 
qstr_{s5}_begins_an_offen|{s5} 正 在 發 動 進 攻， 目 前 的 目 標 是 {s22}
qstr_You_gained_{reg12}_r|你 獲 得 了 {reg12}點 聲 望。 
qstr_You_lose_{reg12}_ren|你 失 去 了 {reg12}點 聲 望。 
qstr_Your_relation_with_{|你 與 {s1}的 關 系 提 升 了。 
qstr_Your_relation_with_{s|你 與 {s1}的 關 系 惡 化 了。 
qstr_You_gain_honour.|你 獲 得 榮 譽。 
qstr_You_lose_honour.|你 失 去 榮 譽。 
qstr_Muslims:_{reg25}_pag|隊 伍 宗 教 組 成 比 例：  穆 斯 林： {reg25} 波 羅 的 海 異 教： {reg26} 蒙 古 異 教： {reg29} 天 主 教： {reg27} 東 正 教： {reg28}
qstr_{s1}_has_declared_wa|{s1}已 經 向 {s2}宣 戰。 
qstr_{s1}_and_{s2}_have_m|{s1}與 {s2}已 經 達 成 了 停 戰 協 議。 
qstr_{s2}_{reg3?was:is_cu|{s2}{reg3?曾 :正 }在 {s3}。 
qstr_{s2}_{reg3?was:is}_t|{s2}{reg3?已 經 :正 在 }趕 去 {s3}， 而 {reg4?她 :他 }{reg3? 之 前 :也 許 }在 {s4}{reg3?:附 近}。 
qstr_{s2}_{reg3?was:is}_i|{s2}{reg3?:正} 在 野 外 某 地， 而 {reg4?她:他} {reg3?之 前:也 許} 在 {s3}{reg3?:附 近}。 
qstr_{s2}_{reg3?was:is}_b|{s2}{reg3?曾 :正 }被 囚 禁 在 {s3}。 
qstr_{s2}_{reg3?was:has_b|{s2}{reg3?已 :已 經 }被 {reg4?她 的 :他 的 }敵 人 俘 虜。 
qstr_{reg3?{s2}_s_locatio|{reg3?{s2}的 位 置 不 明 確:我 不 知 道 {s2}在 哪 裡}。 
qstr_{s6}_has_joined_your|{s6}加 入 了 你 的 部 隊。 
qstr_You_now_owe_{reg2}_d|你 欠 {s1}{reg2}第 納 爾。 
qstr_Renown_value_for_thi|這 場 戰 斗 的 聲 望 評 估 為 {reg8}點。 
qstr_You_have_run_into_a_|你 陷 入 了 圈 套 之 中！ 
qstr_You_are_attacked_by_|你 被 一 群 強 盜 打 劫 了！ 
qstr_{s1}__{reg0}__reache|{s1} ({reg0}) 到 達 了 地 點 
qstr_Holding|堅 守 中 
qstr_Following|隨 行 中 
qstr_Charging|沖 鋒 中 
qstr_Advancing|前 進 中 
qstr_Falling_Back|後 退 中 
qstr_Standing_Closer|聚 攏 中 
qstr_Spreading_Out|散 開 中 
qstr_Standing|站 立 中 
qstr_N/A|無 效 
qstr_Free|自 由 行 動 中 
qstr_Any_Weapon|任 意 武 器 
qstr_Blunt_Weapons|鈍 擊 武 器 
qstr_You_receive_an_item_|因 為 國 王 贊 賞 你 加 入 這 個 陣 營 的 舉 動， 你 獲 得 了 一 件 物 品。 
qstr_{s1}_Rebels|{s1}叛 軍 
qstr_Given_by:_{s62}|給 予 人 ： {s62}
qstr_Given_on:_{s60}|開 始 於 ： {s60}
qstr_You_have_{reg0}_days|你 還 有 {reg0}天 來 完 成 這 個 任 務。 
qstr_This_quest_has_been_|任 務 完 成。 找 {s59}談 話 來 結 束 這 個 任 務。 
qstr_This_quest_has_been_s|任 務 成 功 完 成。 找 {s59}談 話 來 索 取 你 的 報 酬。 
qstr_This_quest_has_faile|任 務 失 敗。 找 {s59}談 話 來 解 釋 情 況。 
qstr_At_the_time_quest_wa|接 受 任 務 時 ： ^{s1}
qstr_{s5}_has_a_strength_|{s5}的 軍 隊 共 有 {reg1}人。 
qstr_The_last_time_you_sa|上 一 次 你 見 到 {reg1?她:他}， {s1}
qstr_The_last_time_you_he|上 一 次 你 聽 說 到 {reg1?她:他}， {s1}
qstr_Current_garrison_con|當 前 的 守 城 部 隊 有 {reg5}人。 ^ 共 有 {reg6}天 的 存 糧。 
qstr_Very_Poor|非 常 貧 窮 
qstr_Poor|貧 窮 
qstr_Average|一 般 
qstr_Rich|富 有 
qstr_Very_Rich|非 常 富 有 
qstr_common_bandits:_{reg|強 盜： {reg20}
qstr_forest_bandits:_{reg|森 林 強 盜： {reg21}
qstr_sea_raiders:_{reg22}|海 寇： {reg22}
qstr_robber_knights:_{reg|強 盜 騎 士： {reg23}
qstr_desert_bandits:_{reg|沙 漠 強 盜： {reg24}
qstr_steppe_bandits:_{reg|草 原 強 盜： {reg25}
qstr_taiga_bandits:_{reg2|雪 原 強 盜： {reg25}
qstr_Lairs|老 巢 
qstr_steppe:_{reg27}|草 原 強 盜： {reg27}
qstr_common:{reg28}|強 盜： {reg28}
qstr_sea_raider:{reg29}|海 寇： {reg29}
qstr_forest:{reg30}|森 林 強 盜： {reg30}
qstr_desert:{reg31}|沙 漠 強 盜： {reg31}
qstr_knights:{reg32}|強 盜 騎 士： {reg32}
qstr_taiga:{reg33}|雪 原 強 盜： {reg33}
qstr_Manor|莊 園 
qstr_A_manor_lets_you_res|有 了 一 個 莊 園， 你 就 可 以 在 村 子 中 休 息， 而 且 在 此 期 間 你 只 用 付 相 當 於 平 時 一 半 的 工 資 給 你 的 部 隊。 
qstr_Fortified_manor_hous|加 蓋 防 御 工 事 的 莊 園 
qstr_A_fortified_manor_ho|加 蓋 了 防 御 工 事 的 莊 園 能 提 供 基 本 的 堡 壘 職 能。 
qstr_Mill|磨 坊 
qstr_A_mill_increases_vil|有 了 一 座 磨 坊， 就 可 以 使 村 子 的 繁 榮 度 提 升 5%。 
qstr_Watch_Tower|了 望 塔 
qstr_A_watch_tower_lets_t|有 了 一 個 了 望 塔， 就 可 以 使 村 民 更 早 的 發 出 警 報， 並 延 長 敵 人 掠 奪 這 村 子 的 時 間 50%。 
qstr_School|學 校 
qstr_A_shool_increases_th|有 了 一 所 學 校， 就 可 以 使 村 民 對 你 的 忠 誠 度 每 月 提 升 1 點。 
qstr_Messenger_Post|驛 站 
qstr_A_messenger_post_let|有 了 一 個 驛 站， 就 可 以 使 村 民 在 村 子 旁 發 現 敵 軍 時 向 你 匯 報， 不 論 你 離 村 子 有 多 遠。 
qstr_Prison_Tower|囚 犯 塔 
qstr_A_prison_tower_reduc|有 了 一 座 囚 犯 塔， 就 可 以 使 被 俘 獲 的 領 主 成 功 逃 跑 的 幾 率 降 低。 
qstr_Improved_fortificati|初 步 加 固 堡 壘 
qstr_Surrounds_your_castl|初 步 加 固 堡 壘 能 為 你 的 城 堡 提 供 一 座 外 牆 
qstr_Improved_fortificatio|再 次 加 固 堡 壘 
qstr_Surrounds_your_castle|再 次 加 固 堡 壘 能 為 你 的 城 堡 再 提 供 一 座 內 牆 
qstr_Prosperity_of_{s2}_h|{s2}的 繁 榮 度 從 {s3}變 到 {s4}。 
qstr_{s10}___home_{s14}_c|{s10} - home {s14} contacts {s15} faction {s16}{***}
qstr_clash_with:_{s11}_an|clash with: {s11} and {s12} kingdom opponent: {s13}{***}
qstr_morality_type:_{reg1|榮 譽 種 類： {reg10}/{reg11} morality2 type: {reg12}/{reg13}{***}
qstr_reputation:_{reg14}|聲 望： {reg14}
qstr_{s4}_looks_upset.|{s4}看 起 來 很 失 落。 
qstr_your_party|你 的 部 隊 
qstr_{reg0?One_of_your_pr|{reg0?你 的 一 個 俘 虜 :俘 虜 }{s3}的 {s1}從 監 獄 逃 跑 了！ 
qstr_You_brought_{reg3}_h|你 帶 了 {reg3}頭 牛 去 {s1}。 
qstr_I_heard_that_there_w|我 聽 說 在 {s62}將 會 舉 辦 一 場 競 技 大 會。 
qstr_I_heard_that_one_can|我 聽 說 {s62}在 {s63}賣 得 很 便 宜。 
qstr_I_heard_that_they_pa|我 聽 說 {s62}在 {s63}賣 的 很 貴。 
qstr_attacks_neutral_{s20|攻 擊 中 立 {s20} {s21}
qstr_two_days_ago|兩 天 之 前 
qstr_target:_{s51}___{reg|target: {s51} - {reg22} actor: {s52} - {reg23} strength ratio: {reg21} war damage: {reg24}{***}
qstr_I_m_sorry_we_take_vo|對 不 起， 我 已 經 許 下 了 貞 潔 的 誓 言， 一 輩 子 不 允 許 結 婚。 
qstr_Best_threat_of_{s4}_|最 有 威 脅 的 {s4}價 值 等 級 為 {reg1}
qstr_No_center_found_to_d|沒 發 現 防 守 地 點 
qstr_You_gain_right_to_ru|你 獲 得 統 治 權。 
qstr_You_lose_right_to_ru|你 失 去 統 治 權。 
qstr_party_{s29}:_{s26}_r|因 為 不 同 的 國 家 文 化， {s29}的 {s26}將 {s27}訓 練 成 了 {s28}
qstr_No_Troops_Left.|沒 有 剩 余 的 部 隊 了。 
qstr_Selected_Troop:_{s1}|選 中 的 部 隊： {s1}
qstr_Peasants_revolt_in_a|{s25}統 治 下 的 農 民 們 起 義 了！ 
qstr_{reg0}_denars_added_|獲 得 了 {reg0}第 納 爾。 
qstr_{reg0}_denars_remove|失 去 了 {reg0}第 納 爾。 
qstr_{s1}_and_{s2}_have_c|{s1}和 {s2}形 成 同 盟 了。 
qstr_{s1}_and_{s2}_have_co|{s1} 和{s2}達 成 了 一 個 防 衛 協 定。 
qstr_{s1}_and_{s2}_have_con|{s1} 和{s2}達 成 了 一 個 貿 易 協 定。 
qstr_{s1}_and_{s2}_have_conc|{s1} 和{s2}達 成 了 一 個 互 不 侵 犯 協 定。 
qstr_you|你 
qstr_{s0}^{s1}|{s0}^{s1}
qstr_{s20}_____dest_slot_|{s20} --- dest slot {reg20}{***}
qstr_#|#
qstr_{s0}{s1}|{s0}{s1}
qstr_{reg0}|{reg0}
qstr_applying_fixes__if_a|對 存 檔 使 用 補 丁 （如 果 需 要 的 話） 
qstr_Faction:_{s21}|陣 營： {s21}
qstr_ranks|列 陣 
qstr_shield_wall|盾 牆 
qstr_wedge|楔 形 陣
qstr_square|方 陣 
qstr_up|沖 鋒 
qstr_Infantry_forming_{s1|步 兵 排 成 了 {s1}。 
qstr_Not_enough_infantry_|沒 有 足 夠 的 步 兵 來 排 列 成 {s1}， 將 原 地 待 命。 
qstr_Cavalry_forming_{s1}|騎 兵 排 成 了 {s1}。 
qstr_Not_enough_cavalry_t|沒 有 足 夠 的 騎 兵 來 排 列 成 {s1}， 將 原 地 待 命。 
qstr_Archers_forming_{s1}|射 手 排 成 了 {s1}。 
qstr_Not_enough_archers_t|沒 有 足 夠 的 弓 弩 兵 來 排 列 成 {s1}， 將 原 地 待 命。 
qstr_Infantry_formation_d|步 兵 陣 型 解 散。 
qstr_Cavalry_formation_di|騎 兵 陣 型 解 散。 
qstr_Archer_formation_dis|射 手 陣 型 解 散。 
qstr_Spearmen|長 矛 手 
qstr_Horse_Archers|騎 射 手 
qstr_calculate_party_stre|calculate party strength [{s33}] --- offense: {reg0} defense: {reg1} size: {reg2}{***}
qstr_You_got_keys_of_dung|你 得 到 了 地 牢 鑰 匙。 
qstr_Releasing_spear.|放 下 長 矛。 
qstr_Your_horse_received_|你 的 馬 受 到 了 架 起 的 長 矛 的 {reg1}點 傷 害！ 
qstr_The_injury_causes_yo|這 次 受 傷 致 使 你 虎 口 迸 裂， 無 法 再 握 矛 了！ 
qstr_Spear_wall_dealt_{re|矛 陣 造 成 了 {reg1}點 傷 害！ 
qstr_Bracing_spear_for_ch|架 矛， 抵 御 沖 鋒。 
qstr_Battle_lost...|戰 斗 失 敗… … 
qstr_Battle_lost!_Press_t|戰 斗 失 敗！ 按 Tab鍵 退 出… … 
qstr_You_have_been_knocke|你 被 敵 人 擊 倒 了， 你 可 以 選 擇 觀 看 你 的 士 兵 們 繼 續 戰 鬥， 或 者 按 Tab鍵 撤 退。 
qstr_If_you_choose_to_wat|如 果 你 選 擇 繼 續 觀 看 戰 鬥， 你 可 以 使 用 鼠 標 的 滾 輪 來 切 換 不 同 部 隊 的 視 角， 或 者 用 ASDW來 自 由 移 動 觀 看 位 置。 
qstr_Forming_ranks.|正 在 組 成 陣 型。 
qstr_You_must_stay_behind|你 必 須 站 在 線 後！ 此 次 攻 擊 無 效。 
qstr_Your_{s20}_falls_apa|你 的 {s20}碎 裂 了！ 
qstr_Your_{s20}_cracks!|你 的 {s20}裂 開 了！ 
qstr_Tutorial|訓 練 
qstr_You_came_into_the_wo|你 作 為 一 個 沒 落 貴 族 家 庭 中 的 {reg3?女 兒 :兒 子 }降 生 在 這 個 世 界 上， 家 中 只 剩 下 了 一 幢 房 子 還 矗 立 著， 記 錄 著 已 經 散 去 的 往 日 榮 光。 不 過， 即 使 生 活 困 苦， 家 裡 依 然 給 予 了 你 很 好 的 教 育， 並 從 孩 童 時 期 就 對 你 進 行 嚴 格 的 行 為 舉 止 方 面 的 訓 練。 
qstr_You_were_born_the_{r|你 是 一 位 旅 行 商 人 的 {reg3?女 兒:兒 子}， 為 了 追 尋 利 益， 他 們 經 常 從 一 個 地 方 到 另 一 個 地 方 四 處 奔 走。 即 使 你 的 父 母 比 常 人 富 有， 並 且 盡 他 們 所 能 給 予 你 最 好 的 教 育， 在 旅 行 中， 你 還 是 會 時 常 與 別 人 買 賣 一 些 小 玩 意， 並 交 上 一 些 朋 友。 
qstr_As_a_child_your_fami|在 孩 童 時 期， 依 靠 著 父 親 在 城 中 做 護 衛 的 一 點 微 薄 工 資， 你 和 家 人 過 著 艱 苦 而 清 貧 的 生 活， 並 且 你 也 支 付 不 起 學 費， 所 以 你 主 要 學 習 的 是 如 何 在 不 論 手 中 是 否 握 有 武 器 的 各 種 情 況 下 盡 量 保 護 自 己。 
qstr_{reg3?daughter:son}|{reg3?女 兒 :兒 子 }
