p_zendar|禅 达 
p_castle_17_2|卡 图 路 阿 堡 
p_castle_17_3|佩 皮 尼 昂 堡 
p_castle_17_4|阿 尔 科 伊 堡 
p_castle_17_5|托 尔 萨 堡 
p_castle_17_6|哈 卡 堡 
p_castle_17_7|尔 瓦 拉 辛 堡 
p_castle_18_1|莱 蒙 斯 堡 
p_castle_18_2|比 斯 开 堡 
p_castle_18_3|利 昂 堡 
p_castle_18_4|布 尔 戈 斯 堡 
p_castle_18_5|巴 达 霍 斯 堡 
p_castle_18_6|穆 尔 西 亚 堡 
p_castle_20_1|塔 里 法 堡 
p_castle_20_2|安 泰 吉 尔 堡 
p_castle_20_3|干 荷 阿 茨 堡 
p_castle_20_4|吕 玛 利 亚 堡 
p_castle_22_1|米 拉 堡 
p_castle_22_2|阿 塔 利 亚 堡 
p_castle_22_3|邵 泊 丽 斯 堡 
p_castle_22_4|以 弗 所 堡 
p_castle_22_5|蒂 厄 拉 堡 
p_castle_22_6|阿 达 米 缇 恩 堡 
p_castle_23_1|骑 士 堡 
p_castle_23_2|萨 法 德 堡 
p_castle_23_3|的 黎 波 里 堡 
p_castle_24_1|雷 吉 奥 堡 
p_castle_24_2|巴 里 堡 
p_castle_24_3|梅 尔 菲 堡 
p_castle_24_4|塔 兰 托 堡 
p_castle_25_1|曼 苏 拉 堡 
p_castle_25_2|吕 阿 里 什 堡 
p_castle_25_3|伊 斯 梅 里 亚 堡 
p_castle_25_4|亚 喀 巴 堡 
p_castle_25_5|博 卡 堡 
p_castle_25_6|卡 拉 克 堡 
p_castle_25_7|Beni Suef{***}
p_castle_26_1|拉 里 萨 堡 
p_castle_26_2|雅 尼 纳 堡 
p_castle_26_3|阿 德 里 安 堡 
p_castle_26_4|克 雷 泊 丽 堡 
p_castle_27_1|厄 姆 那 克 堡 
p_castle_27_2|阿 马 西 亚 堡 
p_castle_27_3|埃 尔 津 詹 堡 
p_castle_27_4|埃 德 萨 堡 
p_castle_27_5|拉 加 堡 
p_castle_27_6|卡 尔 斯 堡 
p_castle_28_1|凯 尔 湾 堡 
p_castle_28_2|伊 尔 萨 尔 瓦 多 堡 
p_castle_28_3|达 累 萨 迪 哈 尔 堡 
p_castle_28_4|邦 吉 堡 
p_castle_28_5|加 贝 斯 堡 
p_castle_28_6|希 尔 特 堡 
p_castle_29_1|彼 德 罗 瓦 拉 丁 堡 
p_castle_29_2|斯 梅 代 雷 沃 堡 
p_castle_30_1|锡 利 斯 特 拉 堡 
p_castle_30_2|尼 瑟 巴 德 堡 
p_castle_30_3|维 丁 堡 
p_castle_31_1|丹 吉 尔 堡 
p_castle_31_2|阿 尔 及 尔 堡 
p_village_1|韦 耶 冷 
p_village_2|缅 济 热 奇 
p_village_3|泰 涅 克 
p_village_4|韦 德 尼 卡 
p_village_5|波 勒 萨 维 耶 克 
p_village_6|奥 斯 特 罗 夫 
p_village_7|吉 耶 克 兹 
p_village_8|切 尔 斯 克 
p_village_9|沃 卡 维 克 
p_village_10|罗 茨 伯 瑞 兹 
p_village_11|维 利 卡 
p_village_12|莱 格 尼 察 
p_village_13|什 切 青 
p_village_14|科 奥 贝 泽 哥 
p_village_15|别 奇 
p_village_16|奥 斯 特 罗 维 茨 
p_village_1_1|雷 登 
p_village_1_2|斯 特 拉 斯 
p_village_1_3|科 肯 哈 乌 森 
p_village_1_4|克 列 瓦 
p_village_1_5|拉 涅 特 
p_village_1_6|韦 森 贝 格 
p_village_1_7|特 温 特 
p_village_1_8|巴 滕 施 泰 因 
p_village_1_9|布 劳 恩 斯 贝 格 
p_village_1_10|罗 斯 腾 
p_village_1_11|沃 尔 玛 
p_village_1_12|曼 莫 贝 格 
p_village_1_13|莫 纳 
p_village_1_14|奥 斯 特 罗 德 
p_village_1_15|佩 多 尔 
p_village_1_16|利 尔 
p_village_1_17|海 尔 斯 贝 格 
p_village_2_1|布 拉 夫 沃 尔 
p_village_2_2|贝 斯 盖 迪 埃 
p_village_2_3|阿 斯 派 力 艾 
p_village_2_4|瓦 斯 吉 利 来 
p_village_2_5|瓦 力 俄 那 
p_village_2_6|阿 克 梅 乔 治 
p_village_2_7|阿 里 沃 格 拉 
p_village_2_8|布 拉 茨 拉 夫 
p_village_2_9|贝 蒂 加 勒 
p_village_2_10|莱 达 
p_village_2_11|斯 洛 尼 姆 
p_village_2_12|斯 洛 克 
p_village_2_13|百 里 奥 
p_village_2_14|克 莱 斯 克 
p_village_2_15|奥 尔 沙 
p_village_2_16|尼 尔 维 斯 
p_village_3_1|库 尔 斯 克 
p_village_3_2|特 维 尔 
p_village_3_3|佩 列 梅 什 利 
p_village_3_4|斯 托 夫 
p_village_3_5|鲍 里 索 夫 卡 
p_village_3_6|苏 兹 达 尔 
p_village_3_7|科 泽 利 斯 克 
p_village_3_8|诺 夫 哥  
p_village_3_9|布 罗 瓦 雷 
p_village_3_10|德 明 多 
p_village_3_11|穆 罗 姆 
p_village_3_12|蒙 古 大 营 一 
p_village_3_13|蒙 古 大 营 二 
p_village_3_14|蒙 古 大 营 三 
p_village_3_15|蒙 古 大 营 四 
p_village_4_1|尚 加 夫 
p_village_4_2|考 普 门 阿 芬 
p_village_4_3|冯 瑞 贝 格 
p_village_4_4|伯 根 奥 特 
p_village_4_5|尼 亚 维 亚 
p_village_4_6|维 森 贝 格 
p_village_4_7|朗 多 瑟 
p_village_4_8|阿 图 勒 贝 格 
p_village_4_9|斯 洛 金 
p_village_4_10|瑞 帕 
p_village_4_11|豪 斯 内 斯 
p_village_4_12|奥 芬 瑟 
p_village_4_13|弗 兰 斯 贝 格 
p_village_4_14|郝 马 斯 特 法 
p_village_4_15|弗 肯 贝 格 
p_village_4_16|林 斯 沙 法 
p_village_6_1|不 莱 梅 
p_village_6_2|科 布 伦 茨 
p_village_6_3|海 德 
p_village_6_4|兰 茨 胡 特 
p_village_6_5|不 伦 瑞 克 
p_village_6_6|盖 尔 恩 豪 森 
p_village_6_7|莱 比 锡 
p_village_6_8|斯 图 加 特 
p_village_6_9|宾 根 
p_village_6_10|波 恩 
p_village_6_11|诺 伊 斯 
p_village_6_12|奥 洛 穆 茨 
p_village_6_13|埃 格 尔 
p_village_6_14|讷 德 林 根 
p_village_6_15|维 尔 茨 
p_village_6_16|雷 根 斯 
p_village_6_17|维 滕 贝 格 
p_village_6_18|汉 堡 
p_village_6_19|登 博 斯 奇 
p_village_6_20|施 潘 道 
p_village_6_21|布 鲁 塞 尔 
p_village_6_22|林 堡 
p_village_6_23|格 拉 茨 
p_village_6_24|弗 里 萨 赫 
p_village_6_25|坎 波 莫 罗 
p_village_6_26|巴 尔 加 利 
p_village_7_1|克 罗 姆 
p_village_7_2|佩 奇 
p_village_7_3|佩 斯 特 
p_village_7_4|科 洛 斯 
p_village_7_5|伊 凯 尔 
p_village_7_6|陶 齐 瓦 
p_village_7_7|加 斯 科 
p_village_7_8|亚 布 拉  
p_village_7_9|维 斯 普 
p_village_7_10|赞 哥 
p_village_7_11|小 克 勒 什 
p_village_7_12|阿 拉 德 
p_village_7_13|兹 洛 克 
p_village_7_14|布 达 
p_village_7_15|乔 纳 德 
p_village_7_16|腾 斯 法 
p_village_8_1|拉 多 加 
p_village_8_2|希 姆 斯 克 
p_village_8_3|派 斯 基 
p_village_8_4|斯 科 耶 
p_village_8_5|尤 热 沃 
p_village_8_6|柳 别 奇 
p_village_9_1|格 威 内 思 
p_village_9_2|波 伊 斯 
p_village_9_3|吉 尔 福 德 
p_village_9_4|布 莱 顿 
p_village_9_5|阿 伯 里 斯 
p_village_9_6|圣 艾 夫 斯 
p_village_9_7|牛 津 
p_village_9_8|诺 威 奇 
p_village_9_9|赫 里 福 德 
p_village_9_10|维 根 
p_village_9_11|布 赖 德 丁 顿 
p_village_9_12|格 洛 斯 特 
p_village_9_13|库 菲 
p_village_9_14|霍 恩 西 
p_village_9_15|布 德 
p_village_9_16|罗 斯 伯 里 
p_village_9_17|梅 里 尼 亚 克 
p_village_9_18|贝 格 拉 克 
p_village_9_19|利 默 里 克 
p_village_9_20|库 克 
p_village_9_21|沃 特 福 德 
p_village_10_1|拉 罗 什 
p_village_10_2|新 奥 尔 良 
p_village_10_3|吉 尔 斯 
p_village_10_4|阿 布 维 尔 
p_village_10_5|圣 昆 廷 
p_village_10_6|沙 托 鲁 
p_village_10_7|蒙 腾 斯 
p_village_10_8|勒 阿 弗 尔 
p_village_10_10|雷 特 尔 
p_village_10_12|布 尔 
p_village_10_13|特 鲁 瓦 
p_village_10_14|莫 尔 莱 
p_village_10_15|维 耶 尔 宗 
p_village_10_16|坎 佩 尔 
p_village_10_17|土 伦 
p_village_10_18|尼 姆 
p_village_10_19|卡 尔 卡 松 
p_village_10_20|贝 桑 松 
p_village_10_21|拿 永 
p_village_10_22|纳 韦 尔 
p_village_10_23|里 昂 
p_village_10_24|朗 格 勒 
p_village_10_28|兰 斯 
p_village_10_30|勒 芒 
p_village_11_1|海 伦 兰 西 多 
p_village_11_2|弗 雷 西 
p_village_11_3|索 尔 斯 港 
p_village_11_4|哈 马 尔 
p_village_11_5|博 格 
p_village_11_6|维 托 伊 
p_village_11_7|卡 乌 帕 尼 尔 
p_village_11_8|思 尼 阿 
p_village_11_9|卡 伦 凯 勒 
p_village_11_10|赛 瑞 乔 
p_village_11_11|欧 克 尼 乔 
p_village_11_12|新 科 
p_village_12_1|因 弗 内 斯 
p_village_12_2|奥 本 
p_village_12_3|威 克 
p_village_12_4|斯 昆 
p_village_12_5|卡 卢 克 
p_village_12_6|爱 丁 堡 村 
p_village_12_7|林 利 斯 哥 
p_village_12_8|珀 斯 
p_village_13_1|卡 瑟 尔 
p_village_13_2|恩 尼 斯 
p_village_13_3|卡 斯 尔 雷 亚 
p_village_13_4|拉 福 
p_village_13_5|克 肯 姆 修 道 院 
p_village_13_6|奥 马 修 道 院 
p_village_13_7|卡 里 克 
p_village_13_8|斯 特 拉 班 
p_village_14_1|阿 普 萨 莉 亚 
p_village_14_2|埃 布 埃 
p_village_14_3|奥 兰 
p_village_14_4|万 比 格 
p_village_14_5|洳 姆 
p_village_14_6|维 斯 特 维 图 克 
p_village_14_7|维 科 杰 伦 
p_village_14_8|奥 勒 别 图 
p_village_14_9|比 勒 贝 图 
p_village_14_10|法 鲁 可 潘 
p_village_14_11|莎 菲 可 潘 
p_village_14_12|辛 格 图 内 尔 
p_village_15_1|戈 罗 多 克 
p_village_15_2|真 维 尼 哥 罗 德 
p_village_15_3|托 马 克 思 
p_village_15_4|科 洛 梅 亚 
p_village_15_5|阿 斯 缇 洛 克 
p_village_15_6|卢 比 斯 州 
p_village_15_7|萨 诺 克 
p_village_15_8|罗 夫 诺 
p_village_15_9|梅 尔 尼 克 
p_village_15_10|奥 努 姆 
p_village_15_11|卡 米 莱 克 
p_village_15_12|扎 巴 拉 斯 
p_village_16_1|法 罗 
p_village_16_2|莱 里 亚 
p_village_16_3|圣 塔 伦 
p_village_16_4|阿 尔 卡 
p_village_16_5|贝 贾 
p_village_16_6|波 塔 莱 格 雷 
p_village_16_7|布 拉 加 
p_village_16_8|波 尔 图 
p_village_17_1|塔 拉 戈 纳 
p_village_17_2|赫 罗 纳 
p_village_17_3|甘 迪 亚 
p_village_17_4|布 里 亚 纳 
p_village_17_5|卡 拉 塔 尤 德 
p_village_17_6|莱 里 达 
p_village_17_7|安 普 里 亚 斯 
p_village_17_8|德 尼 亚 
p_village_17_9|卡 斯 特 利 翁 
p_village_17_10|露 娜 
p_village_17_11|特 鲁 埃 尔 
p_village_18_1|昆 卡 
p_village_18_2|马 德 里 
p_village_18_3|加 的 斯 
p_village_18_4|科 尔 多 瓦 
p_village_18_5|孔 波 斯 特 拉 
p_village_18_6|奥 维 多 
p_village_18_7|萨 莫 拉 
p_village_18_8|索 里 亚 
p_village_18_9|哈 恩 
p_village_18_10|卡 塞 雷 斯 
p_village_20_1|贾 兹 拉 
p_village_20_2|马 碧 勒 
p_village_20_3|马 拉 加 
p_village_20_4|吕 萨 利 
p_village_20_5|巴 扎 
p_village_20_6|贝 查 特 
p_village_20_7|塞 哈 吕 
p_village_20_8|吕 波 克 斯 
p_village_21_1|安 济 奥 
p_village_21_2|蒂 沃 利 
p_village_22_1|卡 尔 西 
p_village_22_2|尼 克 莫 亚 
p_village_22_3|萨 迪 斯 
p_village_22_4|帕 加 马 
p_village_22_5|老 底 嘉 
p_village_22_6|阿 莫 里 恩 
p_village_22_7|阿 里 坎 德 
p_village_22_8|赛 莉 莉 丝 
p_village_22_9|菲 罗 密 缇 恩 
p_village_22_10|赫 拉 克 利 亚 
p_village_22_11|考 缇 爱 恩 
p_village_22_12|卡 兹 口 斯 
p_village_22_13|普 里 莱 普 
p_village_22_14|德 拉 马 
p_village_23_1|阿 斯 卡 顿 
p_village_23_2|拉 姆 利 
p_village_23_3|贝 鲁 特 
p_village_23_4|泰 日 
p_village_23_5|塞 利 摩 斯 
p_village_23_6|泰 拉 萨 
p_village_23_7|阿 勒 颇 
p_village_23_8|塞 琉 西 亚 
p_village_23_9|利 马 索 尔 
p_village_23_10|法 马 古 斯 塔 
p_village_23_11|霍 姆 斯 
p_village_23_12|雅 法 
p_village_23_13|巴 尔 贝 克 
p_village_24_1|锡 拉 丘 兹 
p_village_24_2|墨 西 拿 
p_village_24_3|特 罗 佩 亚 
p_village_24_4|佩 斯 卡 拉 
p_village_24_5|卡 普 阿 
p_village_24_6|布 林 迪 西 
p_village_24_7|帕 勒 诺 
p_village_24_8|特 拉 尼 
p_village_25_1|米 努 夫 
p_village_25_2|阿 什 曼 
p_village_25_3|干 米 特 
p_village_25_4|达 曼 胡 尔 
p_village_25_5|扎 加 齐 格 
p_village_25_6|坦 塔 
p_village_25_7|阿 布 哈 马 德 
p_village_25_8|巴 拉 
p_village_25_9|河 锡 德 
p_village_25_10|丹 普 敦 
p_village_25_11|苏 卢 格 
p_village_25_12|马 鞍 
p_village_25_13|Al Fayyun{***}
p_village_26_1|迪 克 鲁 斯 
p_village_26_2|罗 多 斯 托 
p_village_26_3|罗 琳 休 斯 
p_village_26_4|底 比 斯 
p_village_26_5|巴 罗 艾 
p_village_26_6|卡 斯 托 里 亚 
p_village_26_7|迪 迪 摩 泰 森 
p_village_26_8|加 利 波 利 
p_village_27_1|克 罗 尼 阿 
p_village_27_2|阿 普 利 斯 
p_village_27_3|阿 卡 塞 热 
p_village_27_4|该 撒 利 亚 
p_village_27_5|萨 塔 拉 
p_village_27_6|抛 丹 德 斯 
p_village_27_7|卡 拉 曼 
p_village_27_8|锡 瓦 斯 
p_village_27_9|埃 尔 祖 鲁 姆 
p_village_27_10|洛 里 
p_village_27_11|艾 米 德 
p_village_27_12|提 克 里 特 
p_village_28_1|瓦 利 德 
p_village_28_2|哈 达 
p_village_28_3|君 士 坦 丁 
p_village_28_4|博 纳 
p_village_28_5|塞 提 夫 
p_village_28_6|杰 马 萨 尔 瓦 多 
p_village_28_7|戴 克 尼 亚 
p_village_28_8|马 荷 迪 亚 
p_village_28_9|梅 德 宁 
p_village_28_10|吕 波 亚 特 
p_village_29_1|比 雅 思 科 沃 
p_village_29_2|鲁 尼 克 
p_village_29_3|科 索 沃 
p_village_29_4|克 拉 古 耶 瓦 茨 
p_village_29_5|诺 维 萨 德 
p_village_29_6|斯 梅 代 雷 沃 
p_village_30_1|邰 亚 娜 
p_village_30_2|切 尔 文 
p_village_30_3|康 斯 坦 塔 
p_village_30_4|瓦 纳 
p_village_30_5|比 勒 拉 的 奇 
p_village_30_6|普 雷 斯 拉 夫 
p_village_30_7|阿 瑟 斯 
p_village_31_1|梅 利 利 亚 
p_village_31_2|拉 巴 特 
p_village_31_3|特 内 斯 
p_village_31_4|第 拉 姆 森 
p_village_31_5|萨 菲 
p_village_31_6|奥 尔 扎 扎 特 
p_village_31_7|泰 湍 
p_village_31_8|阔 索 
p_salt_mine|盐 矿 
p_four_ways_inn|四 方 小 客 栈 
p_test_scene|测 试 场 景 
p_battlefields|战 场 
p_dhorak_keep|哨 所 
p_training_ground|训 练 场 
p_training_ground_1|训 练 场 
p_training_ground_2|训 练 场 
p_training_ground_3|训 练 场 
p_training_ground_4|训 练 场 
p_training_ground_5|训 练 场 
p_training_ground_6|训 练 场 
p_training_ground_7|训 练 场 
p_training_ground_8|训 练 场 
p_training_ground_9|训 练 场 
p_training_ground_10|训 练 场 
p_training_ground_11|训 练 场 
p_training_ground_12|训 练 场 
p_training_ground_13|训 练 场 
p_training_ground_14|训 练 场 
p_training_ground_15|训 练 场 
p_training_ground_16|训 练 场 
p_training_ground_17|训 练 场 
p_training_ground_18|训 练 场 
p_ship_1|1 
p_ship_2|2     
p_ship_3|3     
p_ship_4|4     
p_ship_5|5     
p_ship_6|6     
p_ship_7|7     
p_ship_8|8     
p_ship_9|9     
p_ship_10|10     
p_ship_11|11     
p_ship_12|12     
p_ship_13|13     
p_ship_14|14     
p_ship_15|15     
p_ship_16|16     
p_ship_17|17     
p_ship_18|18     
p_ship_19|19     
p_ship_20|20     
p_ship_21|21     
p_ship_22|22     
p_ship_23|23     
p_ship_24|25 
p_ship_25|26 
p_ship_26|27 
p_ship_27|28 
p_ship_28|29 
p_ship_29|30 
p_ship_30|31 
p_ship_31|31 
p_ship_32|32 
p_ship_33|33 
p_ship_34|34 
p_ship_35|35 
p_ship_36|36 
p_ship_37|37 
p_ship_38|38 
p_ship_39|39 
p_ship_40|40 
p_ship_41|41 
p_ship_42|42 
p_ship_43|43 
p_ship_44|44 
p_ship_45|45 
p_ship_46|46 
p_ship_47|47 
p_ship_48|48 
p_ship_49|49 
p_ship_50|50 
p_ship_51|51 
p_ship_52|52 
p_ship_53|53 
p_ship_54|54 
p_ship_55|55 
p_ship_56|56 
p_ship_57|57 
p_ship_58|58 
p_ship_59|59 
p_ship_60|60 
p_ship_61|61 
p_ship_62|62 
p_ship_63|63{***}
p_taiga_bandit_spawn_point_1|the tundra 1{***}
p_taiga_bandit_spawn_point_2|the tundra 2{***}
p_steppe_bandit_spawn_point_1|the steppes 1{***}
p_steppe_bandit_spawn_point_2|the steppes 2{***}
p_forest_bandit_spawn_point_1|森 林 
p_forest_bandit_spawn_point_2|森 林 
p_forest_bandit_spawn_point_3|the forests 3{***}
p_forest_bandit_spawn_point_4|the forests 4{***}
p_forest_bandit_spawn_point_5|the forests 5{***}
p_forest_bandit_spawn_point_6|the forests 6{***}
p_forest_bandit_spawn_point_7|the forests 7{***}
p_mountain_bandit_spawn_point_1|山 谷 
p_mountain_bandit_spawn_point_2|山 谷 
p_mountain_bandit_spawn_point_3|山 谷 
p_mountain_bandit_spawn_point_4|山 谷 
p_mountain_bandit_spawn_point_5|山 谷 
p_mountain_bandit_spawn_point_6|山 谷 
p_mountain_bandit_spawn_point_7|山 谷 
p_mountain_bandit_spawn_point_8|山 谷 
p_mountain_bandit_spawn_point_9|山 谷 
p_mountain_bandit_spawn_point_10|山 谷 
p_mountain_bandit_spawn_point_11|山 谷 
p_mountain_bandit_spawn_point_12|山 谷 
p_mountain_bandit_spawn_point_13|山 谷 
p_mountain_bandit_spawn_point_14|山 谷 
p_mountain_bandit_spawn_point_15|the highways 15{***}
p_mountain_bandit_spawn_point_16|the highways 16{***}
p_mountain_bandit_spawn_point_17|the highways 17{***}
p_mountain_bandit_spawn_point_18|the highways 18{***}
p_mountain_bandit_spawn_point_19|the highways 19{***}
p_mountain_bandit_spawn_point_20|the highways 20{***}
p_mountain_bandit_spawn_point_21|the highways 21{***}
p_sea_raider_spawn_point_1|海 岸 
p_sea_raider_spawn_point_2|海 岸 
p_sea_raider_spawn_point_3|海 岸 
